SampleID	Study	MajorCellType	Major Lineage	Cell Family	GEOName	Organism	GeneticBackground	Sex	AGE	Tissue Source	Exclusion Marker	Treatment	CellType	Phenotype_Marker	Separation Method
GSM538200	GSE15907	B cells	B lineage		B.Fo.PC#3	Mouse	C57BL/6J	Male	10 WEEKS	Peritoneal Cavity	CD3 Ly6c Ter119 Gr-1		B.Fo.PC#3, Fo-type, peritoneal cavity	IgD+ IgM+ CD19+ CD43- CD5- CD23+	dissection/trimming
GSM538201	GSE15907	B cells	B lineage		B.Fo.Sp#1	Mouse	C57BL/6J	Male	7 WEEKS	spleen	CD3 Ly6c Ter119 Gr-1 Mac1		B.Fo.Sp#1, Fo (follicular)	IgD+ IgM+ CD45R+ CD24+ CD19+ AA4.1- CD23+	dissection/trimming
GSM538202	GSE15907	B cells	B lineage		B.Fo.Sp#2	Mouse	C57BL/6J	Male	7 WEEKS	spleen	CD3 Ly6c Ter119 Gr-1 CD11b		B.Fo.Sp#2, Fo (follicular)	IgD+ IgM+ CD45R+ CD24+ CD19+ AA4.1- CD23+	dissection/trimming
GSM538203	GSE15907	B cells	B lineage		B.Fo.Sp#3	Mouse	C57BL/6J	Male	10 WEEKS	spleen	CD3 Ly6c Ter119 Gr-1 CD11b		B.Fo.Sp#3, Fo (follicular)	IgD+ IgM+ CD45R+ CD24+ CD19+ AA4.1- CD23+	dissection/trimming
GSM476652	GSE15907	B cells	B lineage		B.FrE.BM#1	Mouse	C57BL/6J	Male	6 WEEKS	Bone marrow	CD3 Ter119 Ly6c Cd11b Gr-1		B.FrE.BM#1, Fr. E (newly-formed B)	CD19+ IgM+ AA4.1+ HSA+	dissection/trimming
GSM399438	GSE15907	B cells	B lineage		B.FrE.BM#2	Mouse	C57BL/6J	Male	6 WEEKS	Bone marrow	CD3 Ter119 Ly6c Cd11b Gr-1		B.FrE.BM#2, Fr. E (newly-formed B)	CD19+ IgM+ AA4.1+ HSA+	dissection/trimming
GSM399439	GSE15907	B cells	B lineage		B.FrE.BM#3	Mouse	C57BL/6J	Male	8 WEEKS	Bone marrow	CD3 Ly6c Ter119 Gr1 Mac1		B.FrE.BM#3, Fr. E (newly-formed B)	CD19+ IgM+ AA4.1+ HSA+	dissection/trimming
GSM538204	GSE15907	B cells	B lineage		B.FrE.FL#1	Mouse	C57BL/6J	pooled male and female	18 DAYS	Fetal Liver	Ter119 Ly6c CD11b Gr-1 CD3		B.FrE.FL#1, Fr. E (newly-formed B)	AA4.1+ IgM+ CD19+ CD43- CD24+	dissection/trimming
GSM538205	GSE15907	B cells	B lineage		B.FrE.FL#2	Mouse	C57BL/6J	pooled male and female	18 DAYS	Fetal Liver	Ly6c Ter119 CD3 Gr-1 Cd11b		B.FrE.FL#2, Fr. E (newly-formed B)	AA4.1+ IgM+ CD19+ CD43- CD24+	dissection/trimming
GSM538206	GSE15907	B cells	B lineage		B.FrE.FL#3	Mouse	C57BL/6J	pooled male and female	18 DAYS	Fetal Liver	CD3 Ly6c Ter119 Gr-1 CD11b		B.FrE.FL#3, Fr. E (newly-formed B)	AA4.1+ IgM+ CD19+ CD43- CD24+	dissection/trimming
GSM476653	GSE15907	B cells	B lineage		B.FrF.BM#1	Mouse	C57BL/6J	Male	6 WEEKS	Bone marrow	CD3 Ter119 Ly6c Cd11b Gr-1		B.FrF.BM#1, Fr. F (recirc B)	CD19+ IgM+ AA4.1- HSA+	dissection/trimming
GSM399440	GSE15907	B cells	B lineage		B.FrF.BM#2	Mouse	C57BL/6J	Male	6 WEEKS	Bone marrow	CD3 Ter119 Ly6c Cd11b Gr-1		B.FrF.BM#2, Fr. F (recirc B)	CD19+ IgM+ AA4.1- HSA+	dissection/trimming
GSM399441	GSE15907	B cells	B lineage		B.FrF.BM#3	Mouse	C57BL/6J	Male	8 WEEKS	Bone marrow	CD3 Ly6c Ter119 Gr1 Mac1		B.FrF.BM#3, Fr. F (recirc B)	CD19+ IgM+ AA4.1- HSA+	dissection/trimming
GSM538207	GSE15907	B cells	B lineage		B.GC.Sp#1	Mouse	C57BL/6J	Male	10 WEEKS	spleen	Ter119 Ly6c CD3 CD11b Gr-1		B.GC.Sp#1, Germinal Center B cells, Spleen	CD19+ IgM+ IgD- GL7+ PNA+	dissection/trimming
GSM538208	GSE15907	B cells	B lineage		B.GC.Sp#2	Mouse	C57BL/6J	Male	11 WEEKS	spleen	Ter119 Ly6c CD3 CD11b Gr-1		B.GC.Sp#2, Germinal Center B cells, Spleen	CD19+ IgM+ IgD- GL7+ PNA+	dissection/trimming
GSM538209	GSE15907	B cells	B lineage		B.GC.Sp#3	Mouse	C57BL/6J	Male	10 WEEKS	spleen	Ly6c Ter119 CD3 Gr-1 Cd11b		B.GC.Sp#3, Germinal Center B cells, Spleen	CD19+ IgM+ IgD- GL7+ PNA+	dissection/trimming
GSM538210	GSE15907	B cells	B lineage		B.MZ.Sp#1	Mouse	C57BL/6J	Male	7 WEEKS	spleen	CD3 Ly6c Ter119 Gr-1 Mac1		B.MZ.Sp#1, MZ (Marginal Zone)	IgD+ IgM+ CD45R+ CD24+ CD19+ AA4.1- CD23- CD21.35+ CD43+	dissection/trimming
GSM538211	GSE15907	B cells	B lineage		B.MZ.Sp#2	Mouse	C57BL/6J	Male	7 WEEKS	spleen	CD3 Ly6c Ter119 Gr-1 CD11b		B.MZ.Sp#2, MZ (Marginal Zone)	IgD+ IgM+ CD45R+ CD24+ CD19+ AA4.1- CD23- CD21/35+ CD43+	dissection/trimming
GSM538212	GSE15907	B cells	B lineage		B.MZ.Sp#3	Mouse	C57BL/6J	Male	10 WEEKS	spleen	CD3 Ly6c Ter119 Gr-1 CD11b		B.MZ.Sp#3, MZ (Marginal Zone)	IgD+ IgM+ CD45R+ CD24+ CD19+ AA4.1- CD23- CD21/35+ CD43+	dissection/trimming
GSM538213	GSE15907	B cells	B lineage		B.T1.Sp#1	Mouse	C57BL/6J	Male	7 WEEKS	spleen	CD3 Ly6c Ter119 Gr-1 Mac1		B.T1.Sp#1, T1 (transitional)	IgD+ IgM+ CD45R+ CD24+ CD19+ AA4.1+ CD23-	dissection/trimming
GSM538214	GSE15907	B cells	B lineage		B.T1.Sp#2	Mouse	C57BL/6J	Male	7 WEEKS	spleen	CD3 Ly6c Ter119 Gr-1 CD11b		B.T1.Sp#2, T1 (transitional)	IgD+ IgM+ CD45R+ CD24+ CD19+ AA4.1+ CD23-	dissection/trimming
GSM538215	GSE15907	B cells	B lineage		B.T1.Sp#3	Mouse	C57BL/6J	Male	10 WEEKS	spleen	CD3 Ly6c Ter119 Gr-1 CD11b		B.T1.Sp#3, T1 (transitional)	IgD+ IgM+ CD45R+ CD24+ CD19+ AA4.1+ CD23-	dissection/trimming
GSM538216	GSE15907	B cells	B lineage		B.T2.Sp#1	Mouse	C57BL/6J	Male	7 WEEKS	spleen	CD3 Ly6c Ter119 Gr-1 Mac1		B.T2.Sp#1, T2 (transitional)	IgD+ IgM+ CD45R+ CD24+ CD19+ AA4.1+ CD23+	dissection/trimming
GSM538217	GSE15907	B cells	B lineage		B.T2.Sp#2	Mouse	C57BL/6J	Male	7 WEEKS	spleen	CD3 Ly6c Ter119 Gr-1 CD11b		B.T2.Sp#2, T2 (transitional)	IgD+ IgM+ CD45R+ CD24+ CD19+ AA4.1+ CD23+	dissection/trimming
GSM538218	GSE15907	B cells	B lineage		B.T2.Sp#3	Mouse	C57BL/6J	Male	10 WEEKS	spleen	CD3 Ly6c Ter119 Gr-1 CD11b		B.T2.Sp#3, T2 (transitional)	IgD+ IgM+ CD45R+ CD24+ CD19+ AA4.1+ CD23+	dissection/trimming
GSM538219	GSE15907	B cells	B lineage		B.T3.Sp#1	Mouse	C57BL/6J	Male	7 WEEKS	spleen	CD3 Ly6c Ter119 Gr-1 Mac1		B.T3.Sp#1, T3 (transitional)	IgD+ IgM+ CD45R+ CD24+ CD19+ AA4.1+ CD23+	dissection/trimming
GSM538220	GSE15907	B cells	B lineage		B.T3.Sp#2	Mouse	C57BL/6J	Male	7 WEEKS	spleen	CD3 Ly6c Ter119 Gr-1 CD11b		B.T3.Sp#2, T3 (transitional)	IgD+ IgM+ CD45R+ CD24+ CD19+ AA4.1+ CD23+	dissection/trimming
GSM538221	GSE15907	B cells	B lineage		B.T3.Sp#3	Mouse	C57BL/6J	Male	10 WEEKS	spleen	CD3 Ly6c Ter119 Gr-1 CD11b		B.T3.Sp#3, T3 (transitional)	IgD+ IgM+ CD45R+ CD24+ CD19+ AA4.1+ CD23+	dissection/trimming
GSM538222	GSE15907	B cells	B lineage		B1a.PC#1	Mouse	C57BL/6J	Male	7 WEEKS	Peritoneal Cavity	CD3 Ly6c Ter119 Gr-1		B1a.PC#1, B-1a, peritoneal cavity	IgD+ IgM+ CD19+ CD43+ CD5+ CD45R+	dissection/trimming
GSM538223	GSE15907	B cells	B lineage		B1a.PC#2	Mouse	C57BL/6J	Male	7 WEEKS	Peritoneal Cavity	CD3 Ly6c Ter119 Gr-1		B1a.PC#2, B-1a, peritoneal cavity	IgD+ IgM+ CD19+ CD43+ CD5+ CD45R+	dissection/trimming
GSM538224	GSE15907	B cells	B lineage		B1a.PC#3	Mouse	C57BL/6J	Male	10 WEEKS	Peritoneal Cavity	CD3 Ly6c Ter119 Gr-1		B1a.PC#3, B-1a, peritoneal cavity	IgD+ IgM+ CD19+ CD43+ CD5+ CD45R+	dissection/trimming
GSM538225	GSE15907	B cells	B lineage		B1a.Sp#1	Mouse	C57BL/6J	Male	7 WEEKS	spleen	CD3 Ly6c Ter119 Gr-1 Mac1		B1a.Sp#1, B-1a, spleen	IgD+ IgM+ CD45R+ CD24+ CD19+ AA4.1- CD23- CD21/35- CD43+	dissection/trimming
GSM538226	GSE15907	B cells	B lineage		B1a.Sp#2	Mouse	C57BL/6J	Male	7 WEEKS	spleen	CD3 Ly6c Ter119 Gr-1 CD11b		B1a.Sp#2, B-1a, spleen	IgD+ IgM+ CD45R+ CD24+ CD19+ AA4.1- CD23- CD21/35- CD43+	dissection/trimming
GSM538227	GSE15907	B cells	B lineage		B1a.Sp#3	Mouse	C57BL/6J	Male	10 WEEKS	spleen	CD3 Ly6c Ter119 Gr-1 CD11b		B1a.Sp#3, B-1a, spleen	IgD+ IgM+ CD45R+ CD24+ CD19+ AA4.1- CD23- CD21/35- CD43+	dissection/trimming
GSM854229	GSE15907	B cells	B lineage		B1a.Sp#4	Mouse	C57BL/6J	Male	7 WEEKS	spleen	CD3 Ter119 Ly6c GR-1 CD11b		B1a.Sp#4, CD19+CD45R+IgM++AA4.1-CD23-CD43+CD5+	CD19+ CD45R+ IgM++ AA4.1- CD23- CD43+ CD5+	dissection/trimming
GSM854230	GSE15907	B cells	B lineage		B1a.Sp#5	Mouse	C57BL/6J	Male	8 WEEKS	spleen	CD3 Ter119 Ly6c GR-1 CD11b		B1a.Sp#5, CD19+CD45R+IgM++AA4.1-CD23-CD43+CD5+	CD19+ CD45R+ IgM++ AA4.1- CD23- CD43+ CD5+	dissection/trimming
GSM854231	GSE15907	B cells	B lineage		B1a.Sp#6	Mouse	C57BL/6J	Male	9 WEEKS	spleen	CD3 Ter119 Ly6c GR-1 CD11b		B1a.Sp#6, CD19+CD45R+IgM++AA4.1-CD23-CD43+CD5+	CD19+ CD45R+ IgM++ AA4.1- CD23- CD43+ CD5+	dissection/trimming
GSM538228	GSE15907	B cells	B lineage		B1b.PC#1	Mouse	C57BL/6J	Male	7 WEEKS	Peritoneal Cavity	CD3 Ly6c Ter119 Gr-1 Mac1		B1b.PC#1, B-1b, peritoneal cavity	IgD+ IgM+ CD19+ CD43+ CD5- CD45R+	dissection/trimming
GSM538229	GSE15907	B cells	B lineage		B1b.PC#2	Mouse	C57BL/6J	Male	7 WEEKS	Peritoneal Cavity	CD3 Ly6c Ter119 Gr-1 Mac1		B1b.PC#2, B-1b, peritoneal cavity	IgD+ IgM+ CD19+ CD43+ CD5- CD45R+	dissection/trimming
GSM538230	GSE15907	B cells	B lineage		B1b.PC#3	Mouse	C57BL/6J	Male	10 WEEKS	Peritoneal Cavity	CD3 Ly6c Ter119 Gr-1 CD11b		B1b.PC#3, B-1b, peritoneal cavity	IgD+ IgM+ CD19+ CD43+ CD5+ CD45R+	dissection/trimming
GSM777032	GSE15907	Stromal cells	Stroma		BEC.MLN#3	Mouse	C57BL/6J	Male	6 WEEKS	Mesenteric LN	CD45 TER119		BEC.MLN#3, gp38-D31+CD45- cells	gp38- CD31+	dissection/trimming
GSM777033	GSE15907	Stromal cells	Stroma		BEC.MLN#4	Mouse	C57BL/6J	Male	6 WEEKS	Mesenteric LN	CD45 TER119		BEC.MLN#4, gp38-CD31+CD45- cells	gp38- CD31+	dissection/trimming
GSM777034	GSE15907	Stromal cells	Stroma		BEC.MLN#6	Mouse	C57BL/6J	Male	6 WEEKS	Mesenteric LN	CD45 TER119		BEC.MLN#6, gp38-CD31+CD45- cells	gp38- CD31+	dissection/trimming
GSM777035	GSE15907	Stromal cells	Stroma		BEC.MLN#7	Mouse	C57BL/6J	Male	6 WEEKS	Mesenteric LN	CD45 TER119		BEC.MLN#7, gp38-CD31+CD45- cells	gp38- CD31+	dissection/trimming
GSM777036	GSE15907	Stromal cells	Stroma		BEC.MLN#8	Mouse	C57BL/6J	Male	6 WEEKS	Mesenteric LN	CD45 TER119		BEC.MLN#8, gp38-CD31+CD45- cells	gp38- CD31+	dissection/trimming
GSM2176412	GSE15907	Stromal cells	Stroma		BEC.SLN.OT#1	Mouse	B6 (stroma) received B6 OT-I Rag1-/- T cells	Male	6 WEEKS	lymph node (subcutaneous)	CD45, Ter119, gp38, CD140a			CD31	MACS negative selection for CD45 followed by FACS
GSM2176413	GSE15907	Stromal cells	Stroma		BEC.SLN.OT#2	Mouse	B6 (stroma) received B6 OT-I Rag1-/- T cells	Male	6 WEEKS	lymph node (subcutaneous)	CD45, Ter119, gp38, CD140a			CD31	MACS negative selection for CD45 followed by FACS
GSM2176414	GSE15907	Stromal cells	Stroma		BEC.SLN.OT#3	Mouse	B6 (stroma) received B6 OT-I Rag1-/- T cells	Male	6 WEEKS	lymph node (subcutaneous)	CD45, Ter119, gp38, CD140a			CD31	MACS negative selection for CD45 followed by FACS
GSM777037	GSE15907	Stromal cells	Stroma		BEC.SLN#1	Mouse	C57BL/6J	Male	6 WEEKS	cutaneous LN	CD45 TER119		BEC.SLN#1, BECs from the SLN	gp38- CD31+	dissection/trimming
GSM777038	GSE15907	Stromal cells	Stroma		BEC.SLN#3	Mouse	C57BL/6J	Male	6 WEEKS	cutaneous LN	CD45 TER119		BEC.SLN#3, BECs from the SLN	gp38- CD31+	dissection/trimming
GSM777039	GSE15907	Stromal cells	Stroma		BEC.SLN#4	Mouse	C57BL/6J	Male	6 WEEKS	cutaneous LN	CD45 TER119		BEC.SLN#4, BECs from the SLN	gp38- CD31+	dissection/trimming
GSM777040	GSE15907	Stromal cells	Stroma		BEC.SLN#5	Mouse	C57BL/6J	Male	6 WEEKS	cutaneous LN	CD45 TER119		BEC.SLN#5, BECs from the SLN	gp38- CD31+	dissection/trimming
GSM403989	GSE15907	CD19 controls	B lineage		CD19Control#01	Mouse	C57BL/6J	Male	6 WEEKS	spleen	NA		CD19 Control#1	19+ 4- 8-	FACS
GSM403988	GSE15907	CD19 controls	B lineage		CD19Control#02	Mouse	C57BL/6J	Male	6 WEEKS	spleen	NA		CD19 Control#2	19+ 4- 8-	dissection/trimming
GSM403990	GSE15907	CD19 controls	B lineage		CD19Control#03	Mouse	C57BL/6J	Male	6 WEEKS	spleen	NA		CD19 Control#3	19+ 4- 8-	FACS
GSM403991	GSE15907	CD19 controls	B lineage		CD19Control#04	Mouse	C57BL/6J	Male	6 WEEKS	spleen	NA		CD19 Control#4	19+ 4- 8-	FACS
GSM403992	GSE15907	CD19 controls	B lineage		CD19Control#05	Mouse	C57BL/6J	Male	6 WEEKS	spleen	NA		CD19 Control#5	19+ 4- 8-	FACS
GSM403993	GSE15907	CD19 controls	B lineage		CD19Control#06	Mouse	C57BL/6J	Male	6 WEEKS	spleen	NA		CD19 Control#6	19+ 4- 8-	FACS
GSM403995	GSE15907	CD4 T cells	T lineage		CD4Control#01	Mouse	C57BL/6J	Male	6 WEEKS	spleen	NA		CD4 Control#1	4+ 8- B220-	FACS
GSM403994	GSE15907	CD4 T cells	T lineage		CD4Control#02	Mouse	C57BL/6J	Male	6 WEEKS	spleen	NA		CD4 Control#2	4+8-B220-	dissection/trimming
GSM403997	GSE15907	CD4 T cells	T lineage		CD4Control#03	Mouse	C57BL/6J	Male	6 WEEKS	spleen	NA		CD4 Control#3	4+8-B220-	dissection/trimming
GSM403996	GSE15907	CD4 T cells	T lineage		CD4Control#04	Mouse	C57BL/6J	Male	6 WEEKS	spleen	NA		CD4 Control#4	4+ 8- B220-	FACS
GSM403998	GSE15907	CD4 T cells	T lineage		CD4Control#05	Mouse	C57BL/6J	Male	6 WEEKS	spleen	NA		CD4 Control#5	4+ 8- B220-	FACS
GSM403999	GSE15907	CD4 T cells	T lineage		CD4Control#06	Mouse	C57BL/6J	Male	6 WEEKS	spleen	NA		CD4 Control#6	4+ 8- B220-	FACS
GSM404003	GSE15907	CD4 T cells	T lineage		CD4TESTCJ#2	Mouse	4+ 8- B220-	Male	6 WEEKS	spleen	NA		CD4 Test CJ#2	4+8-B220-	dissection/trimming
GSM404004	GSE15907	CD4 T cells	T lineage		CD4TESTCJ#3	Mouse	4+ 8- B220-	Male	6 WEEKS	spleen	NA		CD4 Test CJ#3	4+8-B220-	dissection/trimming
GSM403987	GSE15907	CD4 T cells	T lineage		CD4TESTDB#1	Mouse	4+ 8- B220-	Male	6 WEEKS	spleen	NA		CD4 Test DB#1	4+8-B220-	dissection/trimming
GSM404000	GSE15907	CD4 T cells	T lineage		CD4TESTJS#1	Mouse	4+ 8- B220-	Male	6 WEEKS	spleen	NA		CD4 Test JS#1	4+8-B220-	dissection/trimming
GSM404001	GSE15907	CD4 T cells	T lineage		CD4TESTJS#2	Mouse	4+ 8- B220-	Male	6 WEEKS	spleen	NA		CD4 Test JS#2	4+8-B220-	dissection/trimming
GSM404002	GSE15907	CD4 T cells	T lineage		CD4TESTJS#3	Mouse	4+ 8- B220-	Male	6 WEEKS	spleen	NA		CD4 Test JS#3	4+8-B220-	dissection/trimming
GSM403986	GSE15907	CD4 T cells	T lineage		CD4TESTNA#1	Mouse	4+ 8- B220-	Male	6 WEEKS	spleen	NA		CD4 Test NA#1	4+8-B220-	dissection/trimming
GSM854269	GSE15907	Dendritic Cells	Myeloid		DC.103-11b+24+.Lu#1	Mouse	C57BL/6J	Male	8 WEEKS	lung	SiglecF CD3 DX5 B220		DC.103-11b+24+.Lu#1, MHCII+CD11c+CD103-CD11b+CD24+	MHCII+ CD11c+ CD103- CD11b+ CD24+	dissection/trimming
GSM854270	GSE15907	Dendritic Cells	Myeloid		DC.103-11b+24+.Lu#2	Mouse	C57BL/6J	Male	8 WEEKS	lung	SiglecF CD3 DX5 B220		DC.103-11b+24+.Lu#2, MHCII+CD11c+CD103-CD11b+CD24+	MHCII+ CD11c+ CD103- CD11b+ CD24+	dissection/trimming
GSM854273	GSE15907	Dendritic Cells	Myeloid		DC.103-11b+F4/80lo.Kd#1	Mouse	C57BL/6J	Male	6 WEEKS	kidney	CD3 B220 NKp46 CD103		DC.103-11b+F4/80lo.Kd#1, Kidney CD103- CD11b+ F4/80lo DC	CD45+ CD11c+ I-A/I-E+ CD11b+ F4/80lo	dissection/trimming
GSM854274	GSE15907	Dendritic Cells	Myeloid		DC.103-11b+F4/80lo.Kd#2	Mouse	C57BL/6J	Male	6 WEEKS	kidney	CD3 B220 NKp46 CD103		DC.103-11b+F4/80lo.Kd#2, Kidney CD103- CD11b+ F4/80lo DC	CD45+ CD11c+ I-A/I-E+ CD11b+ F4/80lo	dissection/trimming
GSM854275	GSE15907	Dendritic Cells	Myeloid		DC.103-11b+F4/80lo.Kd#3	Mouse	C57BL/6J	Male	6 WEEKS	kidney	CD3 B220 NKp46 CD103		DC.103-11b+F4/80lo.Kd#3, Kidney CD103- CD11b+ F4/80lo DC	CD45+ CD11c+ I-A/I-E+ CD11b+ F4/80lo	dissection/trimming
GSM538231	GSE15907	Dendritic Cells	Myeloid		DC.103+11b-.Lu#1	Mouse	C57BL/6J	Male	6 WEEKS	lung	Positive CD11c selection		DC.103+11b-.Lu#1, lung CD103+ dendritic cells	CD11chi CD11b low CD103+ MHCII+ SiglecF-	dissection/trimming
GSM538232	GSE15907	Dendritic Cells	Myeloid		DC.103+11b-.Lu#2	Mouse	C57BL/6J	Male	6 WEEKS	lung	Positive CD11c selection		DC.103+11b-.Lu#2, lung CD103+ dendritic cells	CD11chi CD11b low CD103+ MHCII+ SiglecF-	dissection/trimming
GSM538233	GSE15907	Dendritic Cells	Myeloid		DC.103+11b-.Lu#3	Mouse	C57BL/6J	Male	6 WEEKS	lung	Positive CD11c selection		DC.103+11b-.Lu#3, lung CD103+ dendritic cells	CD11chi CD11b low CD103+ MHCII+ SiglecF-	dissection/trimming
GSM854241	GSE15907	Dendritic Cells	Myeloid		DC.103+11b-.Lu#4	Mouse	C57BL/6J	Male	8 WEEKS	lung	SiglecF CD3 DX5 B220		DC.103+11b-.Lu#4	MHCII+ CD11c+ CD103+ CD11b	dissection/trimming
GSM854242	GSE15907	Dendritic Cells	Myeloid		DC.103+11b-.Lu#5	Mouse	C57BL/6J	Male	8 WEEKS	lung	SiglecF CD3 DX5 B220		DC.103+11b-.Lu#5	MHCII+ CD11c+ CD103+ CD11b	dissection/trimming
GSM538234	GSE15907	Dendritic Cells	Myeloid		DC.103+11b-.Lv#1	Mouse	C57BL/6J	Male	8 WEEKS	liver	NA		DC.103+11b-.Lv#1, liver CD103+ dendritic cells	CD45+ CD11c+ MHC-II+ CD11b low CD103+	dissection/trimming
GSM538235	GSE15907	Dendritic Cells	Myeloid		DC.103+11b-.Lv#2	Mouse	C57BL/6J	Male	8 WEEKS	liver	NA		DC.103+11b-.Lv#2, liver CD103+ dendritic cells	CD45+ CD11c+ MHC-II+ CD11b low CD103+	dissection/trimming
GSM538242	GSE15907	Dendritic Cells	Myeloid		DC.4+.MLN#1	Mouse	C57BL/6J	Male	6 WEEKS	Mesenteric LN	PI SA-PECy7		DC.4+.MLN#1, mesenteric LN CD4+ dendritic cell	CD11b-FITC CD4-PE CD11c-Alexa750 CD8a-PacificBlue CD45-APC	dissection/trimming
GSM538243	GSE15907	Dendritic Cells	Myeloid		DC.4+.MLN#2	Mouse	C57BL/6J	Male	6 WEEKS	Mesenteric LN	PI SA-PECy7		DC.4+.MLN#2, mesenteric LN CD4+ dendritic cell	CD11b-FITC CD4-PE CD11c-Alexa750 CD8a-PacificBlue CD45-APC	dissection/trimming
GSM538244	GSE15907	Dendritic Cells	Myeloid		DC.4+.MLN#3	Mouse	C57BL/6J	Male	6 WEEKS	Mesenteric LN	PI SA-PECy7		DC.4+.MLN#3, mesenteric LN CD4+ dendritic cell	CD11b-FITC CD4-PE CD11c-Alexa750 CD8a-PacificBlue CD45-APC	dissection/trimming
GSM538245	GSE15907	Dendritic Cells	Myeloid		DC.4+.SLN#1	Mouse	C57BL/6J	Male	6 WEEKS	Subcutaneous LNs	PI SA-PECy7		DC.4+.SLN#1, skin draining LN CD4+dendritic cell	CD11b-FITC CD4-PE CD11c-Alexa750 CD8a-PacificBlue CD45-APC	dissection/trimming
GSM538246	GSE15907	Dendritic Cells	Myeloid		DC.4+.SLN#2	Mouse	C57BL/6J	Male	6 WEEKS	Subcutaneous LNs	PI SA-PECy7		DC.4+.SLN#2, skin draining LN CD4+dendritic cell	CD11b-FITC CD4-PE CD11c-Alexa750 CD8a-PacificBlue CD45-APC	dissection/trimming
GSM538247	GSE15907	Dendritic Cells	Myeloid		DC.4+.SLN#3	Mouse	C57BL/6J	Male	6 WEEKS	Subcutaneous LNs	PI SA-PECy7		DC.4+.SLN#3, skin draining LN CD4+dendritic cell	CD11b-FITC CD4-PE CD11c-Alexa750 CD8a-PacificBlue CD45-APC	dissection/trimming
GSM605826	GSE15907	Dendritic Cells	Myeloid		DC.4+.Sp.ST#4	Mouse	C57BL/6J	Male	6 WEEKS	spleen	PI SA-PECy7		DC.4+.Sp#4, CD4 CDs	CD11b CD4 CD45 CD11c CD8a	dissection/trimming
