ImmGenName	SampleID	Study	MajorCellType	Major Lineage	Cell Family	GEOName	Organism	GeneticBackground	Sex	AGE	Tissue Source	Exclusion Marker	Treatment	CellType	Phenotype_Marker	Separation Method
B.Fo.PC#3	GSM538200	GSE15907	B cells	B lineage		B.Fo.PC#3	Mouse	C57BL/6J	Male	10 WEEKS	Peritoneal Cavity	CD3 Ly6c Ter119 Gr-1		B.Fo.PC#3, Fo-type, peritoneal cavity	IgD+ IgM+ CD19+ CD43- CD5- CD23+	dissection/trimming
B.Fo.Sp#1	GSM538201	GSE15907	B cells	B lineage		B.Fo.Sp#1	Mouse	C57BL/6J	Male	7 WEEKS	spleen	CD3 Ly6c Ter119 Gr-1 Mac1		B.Fo.Sp#1, Fo (follicular)	IgD+ IgM+ CD45R+ CD24+ CD19+ AA4.1- CD23+	dissection/trimming
B.Fo.Sp#2	GSM538202	GSE15907	B cells	B lineage		B.Fo.Sp#2	Mouse	C57BL/6J	Male	7 WEEKS	spleen	CD3 Ly6c Ter119 Gr-1 CD11b		B.Fo.Sp#2, Fo (follicular)	IgD+ IgM+ CD45R+ CD24+ CD19+ AA4.1- CD23+	dissection/trimming
B.Fo.Sp#3	GSM538203	GSE15907	B cells	B lineage		B.Fo.Sp#3	Mouse	C57BL/6J	Male	10 WEEKS	spleen	CD3 Ly6c Ter119 Gr-1 CD11b		B.Fo.Sp#3, Fo (follicular)	IgD+ IgM+ CD45R+ CD24+ CD19+ AA4.1- CD23+	dissection/trimming
B.FrE.BM#1	GSM476652	GSE15907	B cells	B lineage		B.FrE.BM#1	Mouse	C57BL/6J	Male	6 WEEKS	Bone marrow	CD3 Ter119 Ly6c Cd11b Gr-1		B.FrE.BM#1, Fr. E (newly-formed B)	CD19+ IgM+ AA4.1+ HSA+	dissection/trimming
B.FrE.BM#2	GSM399438	GSE15907	B cells	B lineage		B.FrE.BM#2	Mouse	C57BL/6J	Male	6 WEEKS	Bone marrow	CD3 Ter119 Ly6c Cd11b Gr-1		B.FrE.BM#2, Fr. E (newly-formed B)	CD19+ IgM+ AA4.1+ HSA+	dissection/trimming
B.FrE.BM#3	GSM399439	GSE15907	B cells	B lineage		B.FrE.BM#3	Mouse	C57BL/6J	Male	8 WEEKS	Bone marrow	CD3 Ly6c Ter119 Gr1 Mac1		B.FrE.BM#3, Fr. E (newly-formed B)	CD19+ IgM+ AA4.1+ HSA+	dissection/trimming
B.FrE.FL#1	GSM538204	GSE15907	B cells	B lineage		B.FrE.FL#1	Mouse	C57BL/6J	pooled male and female	18 DAYS	Fetal Liver	Ter119 Ly6c CD11b Gr-1 CD3		B.FrE.FL#1, Fr. E (newly-formed B)	AA4.1+ IgM+ CD19+ CD43- CD24+	dissection/trimming
B.FrE.FL#2	GSM538205	GSE15907	B cells	B lineage		B.FrE.FL#2	Mouse	C57BL/6J	pooled male and female	18 DAYS	Fetal Liver	Ly6c Ter119 CD3 Gr-1 Cd11b		B.FrE.FL#2, Fr. E (newly-formed B)	AA4.1+ IgM+ CD19+ CD43- CD24+	dissection/trimming
B.FrE.FL#3	GSM538206	GSE15907	B cells	B lineage		B.FrE.FL#3	Mouse	C57BL/6J	pooled male and female	18 DAYS	Fetal Liver	CD3 Ly6c Ter119 Gr-1 CD11b		B.FrE.FL#3, Fr. E (newly-formed B)	AA4.1+ IgM+ CD19+ CD43- CD24+	dissection/trimming
B.FrF.BM#1	GSM476653	GSE15907	B cells	B lineage		B.FrF.BM#1	Mouse	C57BL/6J	Male	6 WEEKS	Bone marrow	CD3 Ter119 Ly6c Cd11b Gr-1		B.FrF.BM#1, Fr. F (recirc B)	CD19+ IgM+ AA4.1- HSA+	dissection/trimming
B.FrF.BM#2	GSM399440	GSE15907	B cells	B lineage		B.FrF.BM#2	Mouse	C57BL/6J	Male	6 WEEKS	Bone marrow	CD3 Ter119 Ly6c Cd11b Gr-1		B.FrF.BM#2, Fr. F (recirc B)	CD19+ IgM+ AA4.1- HSA+	dissection/trimming
B.FrF.BM#3	GSM399441	GSE15907	B cells	B lineage		B.FrF.BM#3	Mouse	C57BL/6J	Male	8 WEEKS	Bone marrow	CD3 Ly6c Ter119 Gr1 Mac1		B.FrF.BM#3, Fr. F (recirc B)	CD19+ IgM+ AA4.1- HSA+	dissection/trimming
B.GC.Sp#1	GSM538207	GSE15907	B cells	B lineage		B.GC.Sp#1	Mouse	C57BL/6J	Male	10 WEEKS	spleen	Ter119 Ly6c CD3 CD11b Gr-1		B.GC.Sp#1, Germinal Center B cells, Spleen	CD19+ IgM+ IgD- GL7+ PNA+	dissection/trimming
B.GC.Sp#2	GSM538208	GSE15907	B cells	B lineage		B.GC.Sp#2	Mouse	C57BL/6J	Male	11 WEEKS	spleen	Ter119 Ly6c CD3 CD11b Gr-1		B.GC.Sp#2, Germinal Center B cells, Spleen	CD19+ IgM+ IgD- GL7+ PNA+	dissection/trimming
B.GC.Sp#3	GSM538209	GSE15907	B cells	B lineage		B.GC.Sp#3	Mouse	C57BL/6J	Male	10 WEEKS	spleen	Ly6c Ter119 CD3 Gr-1 Cd11b		B.GC.Sp#3, Germinal Center B cells, Spleen	CD19+ IgM+ IgD- GL7+ PNA+	dissection/trimming
B.MZ.Sp#1	GSM538210	GSE15907	B cells	B lineage		B.MZ.Sp#1	Mouse	C57BL/6J	Male	7 WEEKS	spleen	CD3 Ly6c Ter119 Gr-1 Mac1		B.MZ.Sp#1, MZ (Marginal Zone)	IgD+ IgM+ CD45R+ CD24+ CD19+ AA4.1- CD23- CD21.35+ CD43+	dissection/trimming
B.MZ.Sp#2	GSM538211	GSE15907	B cells	B lineage		B.MZ.Sp#2	Mouse	C57BL/6J	Male	7 WEEKS	spleen	CD3 Ly6c Ter119 Gr-1 CD11b		B.MZ.Sp#2, MZ (Marginal Zone)	IgD+ IgM+ CD45R+ CD24+ CD19+ AA4.1- CD23- CD21/35+ CD43+	dissection/trimming
B.MZ.Sp#3	GSM538212	GSE15907	B cells	B lineage		B.MZ.Sp#3	Mouse	C57BL/6J	Male	10 WEEKS	spleen	CD3 Ly6c Ter119 Gr-1 CD11b		B.MZ.Sp#3, MZ (Marginal Zone)	IgD+ IgM+ CD45R+ CD24+ CD19+ AA4.1- CD23- CD21/35+ CD43+	dissection/trimming
B.T1.Sp#1	GSM538213	GSE15907	B cells	B lineage		B.T1.Sp#1	Mouse	C57BL/6J	Male	7 WEEKS	spleen	CD3 Ly6c Ter119 Gr-1 Mac1		B.T1.Sp#1, T1 (transitional)	IgD+ IgM+ CD45R+ CD24+ CD19+ AA4.1+ CD23-	dissection/trimming
B.T1.Sp#2	GSM538214	GSE15907	B cells	B lineage		B.T1.Sp#2	Mouse	C57BL/6J	Male	7 WEEKS	spleen	CD3 Ly6c Ter119 Gr-1 CD11b		B.T1.Sp#2, T1 (transitional)	IgD+ IgM+ CD45R+ CD24+ CD19+ AA4.1+ CD23-	dissection/trimming
B.T1.Sp#3	GSM538215	GSE15907	B cells	B lineage		B.T1.Sp#3	Mouse	C57BL/6J	Male	10 WEEKS	spleen	CD3 Ly6c Ter119 Gr-1 CD11b		B.T1.Sp#3, T1 (transitional)	IgD+ IgM+ CD45R+ CD24+ CD19+ AA4.1+ CD23-	dissection/trimming
B.T2.Sp#1	GSM538216	GSE15907	B cells	B lineage		B.T2.Sp#1	Mouse	C57BL/6J	Male	7 WEEKS	spleen	CD3 Ly6c Ter119 Gr-1 Mac1		B.T2.Sp#1, T2 (transitional)	IgD+ IgM+ CD45R+ CD24+ CD19+ AA4.1+ CD23+	dissection/trimming
B.T2.Sp#2	GSM538217	GSE15907	B cells	B lineage		B.T2.Sp#2	Mouse	C57BL/6J	Male	7 WEEKS	spleen	CD3 Ly6c Ter119 Gr-1 CD11b		B.T2.Sp#2, T2 (transitional)	IgD+ IgM+ CD45R+ CD24+ CD19+ AA4.1+ CD23+	dissection/trimming
B.T2.Sp#3	GSM538218	GSE15907	B cells	B lineage		B.T2.Sp#3	Mouse	C57BL/6J	Male	10 WEEKS	spleen	CD3 Ly6c Ter119 Gr-1 CD11b		B.T2.Sp#3, T2 (transitional)	IgD+ IgM+ CD45R+ CD24+ CD19+ AA4.1+ CD23+	dissection/trimming
B.T3.Sp#1	GSM538219	GSE15907	B cells	B lineage		B.T3.Sp#1	Mouse	C57BL/6J	Male	7 WEEKS	spleen	CD3 Ly6c Ter119 Gr-1 Mac1		B.T3.Sp#1, T3 (transitional)	IgD+ IgM+ CD45R+ CD24+ CD19+ AA4.1+ CD23+	dissection/trimming
B.T3.Sp#2	GSM538220	GSE15907	B cells	B lineage		B.T3.Sp#2	Mouse	C57BL/6J	Male	7 WEEKS	spleen	CD3 Ly6c Ter119 Gr-1 CD11b		B.T3.Sp#2, T3 (transitional)	IgD+ IgM+ CD45R+ CD24+ CD19+ AA4.1+ CD23+	dissection/trimming
B.T3.Sp#3	GSM538221	GSE15907	B cells	B lineage		B.T3.Sp#3	Mouse	C57BL/6J	Male	10 WEEKS	spleen	CD3 Ly6c Ter119 Gr-1 CD11b		B.T3.Sp#3, T3 (transitional)	IgD+ IgM+ CD45R+ CD24+ CD19+ AA4.1+ CD23+	dissection/trimming
B1a.PC#1	GSM538222	GSE15907	B cells	B lineage		B1a.PC#1	Mouse	C57BL/6J	Male	7 WEEKS	Peritoneal Cavity	CD3 Ly6c Ter119 Gr-1		B1a.PC#1, B-1a, peritoneal cavity	IgD+ IgM+ CD19+ CD43+ CD5+ CD45R+	dissection/trimming
B1a.PC#2	GSM538223	GSE15907	B cells	B lineage		B1a.PC#2	Mouse	C57BL/6J	Male	7 WEEKS	Peritoneal Cavity	CD3 Ly6c Ter119 Gr-1		B1a.PC#2, B-1a, peritoneal cavity	IgD+ IgM+ CD19+ CD43+ CD5+ CD45R+	dissection/trimming
B1a.PC#3	GSM538224	GSE15907	B cells	B lineage		B1a.PC#3	Mouse	C57BL/6J	Male	10 WEEKS	Peritoneal Cavity	CD3 Ly6c Ter119 Gr-1		B1a.PC#3, B-1a, peritoneal cavity	IgD+ IgM+ CD19+ CD43+ CD5+ CD45R+	dissection/trimming
B1a.Sp#1	GSM538225	GSE15907	B cells	B lineage		B1a.Sp#1	Mouse	C57BL/6J	Male	7 WEEKS	spleen	CD3 Ly6c Ter119 Gr-1 Mac1		B1a.Sp#1, B-1a, spleen	IgD+ IgM+ CD45R+ CD24+ CD19+ AA4.1- CD23- CD21/35- CD43+	dissection/trimming
B1a.Sp#2	GSM538226	GSE15907	B cells	B lineage		B1a.Sp#2	Mouse	C57BL/6J	Male	7 WEEKS	spleen	CD3 Ly6c Ter119 Gr-1 CD11b		B1a.Sp#2, B-1a, spleen	IgD+ IgM+ CD45R+ CD24+ CD19+ AA4.1- CD23- CD21/35- CD43+	dissection/trimming
B1a.Sp#3	GSM538227	GSE15907	B cells	B lineage		B1a.Sp#3	Mouse	C57BL/6J	Male	10 WEEKS	spleen	CD3 Ly6c Ter119 Gr-1 CD11b		B1a.Sp#3, B-1a, spleen	IgD+ IgM+ CD45R+ CD24+ CD19+ AA4.1- CD23- CD21/35- CD43+	dissection/trimming
B1a.Sp#4	GSM854229	GSE15907	B cells	B lineage		B1a.Sp#4	Mouse	C57BL/6J	Male	7 WEEKS	spleen	CD3 Ter119 Ly6c GR-1 CD11b		B1a.Sp#4, CD19+CD45R+IgM++AA4.1-CD23-CD43+CD5+	CD19+ CD45R+ IgM++ AA4.1- CD23- CD43+ CD5+	dissection/trimming
B1a.Sp#5	GSM854230	GSE15907	B cells	B lineage		B1a.Sp#5	Mouse	C57BL/6J	Male	8 WEEKS	spleen	CD3 Ter119 Ly6c GR-1 CD11b		B1a.Sp#5, CD19+CD45R+IgM++AA4.1-CD23-CD43+CD5+	CD19+ CD45R+ IgM++ AA4.1- CD23- CD43+ CD5+	dissection/trimming
B1a.Sp#6	GSM854231	GSE15907	B cells	B lineage		B1a.Sp#6	Mouse	C57BL/6J	Male	9 WEEKS	spleen	CD3 Ter119 Ly6c GR-1 CD11b		B1a.Sp#6, CD19+CD45R+IgM++AA4.1-CD23-CD43+CD5+	CD19+ CD45R+ IgM++ AA4.1- CD23- CD43+ CD5+	dissection/trimming
B1b.PC#1	GSM538228	GSE15907	B cells	B lineage		B1b.PC#1	Mouse	C57BL/6J	Male	7 WEEKS	Peritoneal Cavity	CD3 Ly6c Ter119 Gr-1 Mac1		B1b.PC#1, B-1b, peritoneal cavity	IgD+ IgM+ CD19+ CD43+ CD5- CD45R+	dissection/trimming
B1b.PC#2	GSM538229	GSE15907	B cells	B lineage		B1b.PC#2	Mouse	C57BL/6J	Male	7 WEEKS	Peritoneal Cavity	CD3 Ly6c Ter119 Gr-1 Mac1		B1b.PC#2, B-1b, peritoneal cavity	IgD+ IgM+ CD19+ CD43+ CD5- CD45R+	dissection/trimming
B1b.PC#3	GSM538230	GSE15907	B cells	B lineage		B1b.PC#3	Mouse	C57BL/6J	Male	10 WEEKS	Peritoneal Cavity	CD3 Ly6c Ter119 Gr-1 CD11b		B1b.PC#3, B-1b, peritoneal cavity	IgD+ IgM+ CD19+ CD43+ CD5+ CD45R+	dissection/trimming
BEC.MLN#3	GSM777032	GSE15907	Stromal cells	Stroma		BEC.MLN#3	Mouse	C57BL/6J	Male	6 WEEKS	Mesenteric LN	CD45 TER119		BEC.MLN#3, gp38-D31+CD45- cells	gp38- CD31+	dissection/trimming
BEC.MLN#4	GSM777033	GSE15907	Stromal cells	Stroma		BEC.MLN#4	Mouse	C57BL/6J	Male	6 WEEKS	Mesenteric LN	CD45 TER119		BEC.MLN#4, gp38-CD31+CD45- cells	gp38- CD31+	dissection/trimming
BEC.MLN#6	GSM777034	GSE15907	Stromal cells	Stroma		BEC.MLN#6	Mouse	C57BL/6J	Male	6 WEEKS	Mesenteric LN	CD45 TER119		BEC.MLN#6, gp38-CD31+CD45- cells	gp38- CD31+	dissection/trimming
BEC.MLN#7	GSM777035	GSE15907	Stromal cells	Stroma		BEC.MLN#7	Mouse	C57BL/6J	Male	6 WEEKS	Mesenteric LN	CD45 TER119		BEC.MLN#7, gp38-CD31+CD45- cells	gp38- CD31+	dissection/trimming
BEC.MLN#8	GSM777036	GSE15907	Stromal cells	Stroma		BEC.MLN#8	Mouse	C57BL/6J	Male	6 WEEKS	Mesenteric LN	CD45 TER119		BEC.MLN#8, gp38-CD31+CD45- cells	gp38- CD31+	dissection/trimming
BEC.SLN.OT#1	GSM2176412	GSE15907	Stromal cells	Stroma		BEC.SLN.OT#1	Mouse	B6 (stroma) received B6 OT-I Rag1-/- T cells	Male	6 WEEKS	lymph node (subcutaneous)	CD45, Ter119, gp38, CD140a			CD31	MACS negative selection for CD45 followed by FACS
BEC.SLN.OT#2	GSM2176413	GSE15907	Stromal cells	Stroma		BEC.SLN.OT#2	Mouse	B6 (stroma) received B6 OT-I Rag1-/- T cells	Male	6 WEEKS	lymph node (subcutaneous)	CD45, Ter119, gp38, CD140a			CD31	MACS negative selection for CD45 followed by FACS
BEC.SLN.OT#3	GSM2176414	GSE15907	Stromal cells	Stroma		BEC.SLN.OT#3	Mouse	B6 (stroma) received B6 OT-I Rag1-/- T cells	Male	6 WEEKS	lymph node (subcutaneous)	CD45, Ter119, gp38, CD140a			CD31	MACS negative selection for CD45 followed by FACS
BEC.SLN#1	GSM777037	GSE15907	Stromal cells	Stroma		BEC.SLN#1	Mouse	C57BL/6J	Male	6 WEEKS	cutaneous LN	CD45 TER119		BEC.SLN#1, BECs from the SLN	gp38- CD31+	dissection/trimming
BEC.SLN#3	GSM777038	GSE15907	Stromal cells	Stroma		BEC.SLN#3	Mouse	C57BL/6J	Male	6 WEEKS	cutaneous LN	CD45 TER119		BEC.SLN#3, BECs from the SLN	gp38- CD31+	dissection/trimming
BEC.SLN#4	GSM777039	GSE15907	Stromal cells	Stroma		BEC.SLN#4	Mouse	C57BL/6J	Male	6 WEEKS	cutaneous LN	CD45 TER119		BEC.SLN#4, BECs from the SLN	gp38- CD31+	dissection/trimming
BEC.SLN#5	GSM777040	GSE15907	Stromal cells	Stroma		BEC.SLN#5	Mouse	C57BL/6J	Male	6 WEEKS	cutaneous LN	CD45 TER119		BEC.SLN#5, BECs from the SLN	gp38- CD31+	dissection/trimming
CD19Control#01	GSM403989	GSE15907	CD19 controls	B lineage		CD19Control#01	Mouse	C57BL/6J	Male	6 WEEKS	spleen	NA		CD19 Control#1	19+ 4- 8-	FACS
CD19Control#02	GSM403988	GSE15907	CD19 controls	B lineage		CD19Control#02	Mouse	C57BL/6J	Male	6 WEEKS	spleen	NA		CD19 Control#2	19+ 4- 8-	dissection/trimming
CD19Control#03	GSM403990	GSE15907	CD19 controls	B lineage		CD19Control#03	Mouse	C57BL/6J	Male	6 WEEKS	spleen	NA		CD19 Control#3	19+ 4- 8-	FACS
CD19Control#04	GSM403991	GSE15907	CD19 controls	B lineage		CD19Control#04	Mouse	C57BL/6J	Male	6 WEEKS	spleen	NA		CD19 Control#4	19+ 4- 8-	FACS
