SampleID	Study	MajorCellType	Major Lineage	Cell Family	GEOName	Organism	GeneticBackground	Sex	AGE	Tissue Source	Exclusion Marker	Treatment	GeneticKOs	CellType	CellType_Treatment_GeneticKO	Phenotype_Marker	Separation Method
GSM2644244	GSE75203	Macrophages	Myeloid		MF.B10Q.IFNa.2hr.PC#1	Mouse	B10.Q/J	Male	7 WEEKS	Peritoneal Cavity	--	Sacrifice at 2hr after sc treatment with 10000u IFNa	WT	Macrophage	Macrophage_2hr10000uIFNa_WT	F4/80+ ICAM2+	FACSAria
GSM2644247	GSE75203	Macrophages	Myeloid		MF.B10Q.IFNa.2hr.Sp#2	Mouse	B10.Q/J	Male	7 WEEKS	Peritoneal Cavity	--	Sacrifice at 2hr after sc treatment with 10000u IFNa	WT	Macrophage	Macrophage_2hr10000uIFNa_WT	F4/80+ ICAM2+	FACSAria
GSM2644253	GSE75203	Macrophages	Myeloid		MF.B10Q.IFNa.5hr.Sp#1	Mouse	B10.Q/J	Male	7 WEEKS	Peritoneal Cavity	--	Sacrifice at 5hr after sc treatment with 10000u IFNa	WT	Macrophage	Macrophage_5hr10000uIFNa_WT	F4/80+ ICAM2+	FACSAria
GSM2644256	GSE75203	Macrophages	Myeloid		MF.B10Q.IFNa.5hr.Sp#2	Mouse	B10.Q/J	Male	7 WEEKS	Peritoneal Cavity	--	Sacrifice at 5hr after sc treatment with 10000u IFNa	WT	Macrophage	Macrophage_5hr10000uIFNa_WT	F4/80+ ICAM2+	FACSAria
GSM2644259	GSE75203	Macrophages	Myeloid		MF.B10Q.veh.Sp#2	Mouse	B10.Q/J	Male	7 WEEKS	Peritoneal Cavity	--	Sacrifice at 5hr after sc treatment with vehicle	WT	Macrophage	Macrophage_5hrvehicle_WT	F4/80+ ICAM2+	FACSAria
GSM2644250	GSE75203	Macrophages	Myeloid		MF.B10Q.veh2hr.Sp#1	Mouse	B10.Q/J	Male	7 WEEKS	Peritoneal Cavity	--	Sacrifice at 2hr after sc treatment with vehicle	WT	Macrophage	Macrophage_2hrvehicle_WT	F4/80+ ICAM2+	FACSAria
GSM1945087	GSE75203	Macrophages	Myeloid		MF.IFNar1KO.IFNa.2hr.PC#1	Mouse	B6.129S2-Ifnar1tm1Agt/Mmjax	Male	6 WEEKS	Peritoneal Cavity	--	Sacrifice at 2hr after sc treatment with 10000u IFNa	IFNar1KO	Macrophage	Macrophage_2hr10000uIFNa_IFNar1KO	ICAM2+ F4/80+	FACSAria
GSM1945091	GSE75203	Macrophages	Myeloid		MF.IFNar1KO.IFNa.2hr.PC#2	Mouse	B6.129S2-Ifnar1tm1Agt/Mmjax	Male	6 WEEKS	Peritoneal Cavity	--	Sacrifice at 2hr after sc treatment with 10000u IFNa	IFNar1KO	Macrophage	Macrophage_2hr10000uIFNa_IFNar1KO	ICAM2+ F4/80+	FACSAria
GSM1945089	GSE75203	Macrophages	Myeloid		MF.IFNar1KO.PC#1	Mouse	B6.129S2-Ifnar1tm1Agt/Mmjax	Male	6 WEEKS	Peritoneal Cavity	--	Sacrifice at 2hr after sc treatment with 10000u IFNa	IFNar1KO	Macrophage	Macrophage_2hr10000uIFNa_IFNar1KO	ICAM2+ F4/80+	FACSAria
GSM1945093	GSE75203	Macrophages	Myeloid		MF.IFNar1KO.PC#2	Mouse	B6.129S2-Ifnar1tm1Agt/Mmjax	Male	6 WEEKS	Peritoneal Cavity	--	Sacrifice at 2hr after sc treatment with 10000u IFNa	IFNar1KO	Macrophage	Macrophage_2hr10000uIFNa_IFNar1KO	ICAM2+ F4/80+	FACSAria
GSM2644245	GSE75203	CD4 T cells	T lineage		T4.B10Q.IFNa.2hr.Sp#1	Mouse	B10.Q/J	Male	7 WEEKS	Spleen	CD8-	Sacrifice at 2hr after sc treatment with 10000u IFNa	WT	CD4+ T Cell	CD4TCell_2hr10000uIFNa_WT	TCRB+ CD4+	FACSAria
GSM2644248	GSE75203	CD4 T cells	T lineage		T4.B10Q.IFNa.2hr.Sp#2	Mouse	B10.Q/J	Male	7 WEEKS	Spleen	CD8-	Sacrifice at 2hr after sc treatment with 10000u IFNa	WT	CD4+ T Cell	CD4TCell_2hr10000uIFNa_WT	TCRB+ CD4+	FACSAria
GSM2644254	GSE75203	CD4 T cells	T lineage		T4.B10Q.IFNa.5hr.Sp#1	Mouse	B10.Q/J	Male	7 WEEKS	Spleen	CD8-	Sacrifice at 5hr after sc treatment with 10000u IFNa	WT	CD4+ T Cell	CD4TCell_5hr10000uIFNa_WT	TCRB+ CD4+	FACSAria
GSM2644257	GSE75203	CD4 T cells	T lineage		T4.B10Q.IFNa.5hr.Sp#2	Mouse	B10.Q/J	Male	7 WEEKS	Spleen	CD8-	Sacrifice at 5hr after sc treatment with 10000u IFNa	WT	CD4+ T Cell	CD4TCell_5hr10000uIFNa_WT	TCRB+ CD4+	FACSAria
GSM2644260	GSE75203	CD4 T cells	T lineage		T4.B10Q.veh.Sp#2	Mouse	B10.Q/J	Male	7 WEEKS	Spleen	CD8-	Sacrifice at 5hr after sc treatment with vehicle	WT	CD4+ T Cell	CD4TCell_5hrvehicle_WT	TCRB+ CD4+	FACSAria
