"SampleID"	"PatientID"	"CellType"
"X1001000234_Tumor"	"X1001000234"	"Tumor"
"X1001000235_Myeloid"	"X1001000235"	"Myeloid"
"X1001000235_Tumor"	"X1001000235"	"Tumor"
"X1001000236_Myeloid"	"X1001000236"	"Myeloid"
"X1001000236_Tumor"	"X1001000236"	"Tumor"
"X1001000237_Myeloid"	"X1001000237"	"Myeloid"
"X1001000237_Tumor"	"X1001000237"	"Tumor"
"X1001000238_Myeloid"	"X1001000238"	"Myeloid"
"X1001000238_Tumor"	"X1001000238"	"Tumor"
"X1001000239_Myeloid"	"X1001000239"	"Myeloid"
"X1001000239_Tumor"	"X1001000239"	"Tumor"
"X1001000240_Myeloid"	"X1001000240"	"Myeloid"
"X1001000240_Tumor"	"X1001000240"	"Tumor"
"X1001000241_Myeloid"	"X1001000241"	"Myeloid"
"X1001000241_Stroma"	"X1001000241"	"Stroma"
"X1001000241_Tumor"	"X1001000241"	"Tumor"
"X1001000242_Myeloid"	"X1001000242"	"Myeloid"
"X1001000242_Tumor"	"X1001000242"	"Tumor"
"X1001000243_Tumor"	"X1001000243"	"Tumor"
"X1001000244_Tumor"	"X1001000244"	"Tumor"
"X1001000245_Myeloid"	"X1001000245"	"Myeloid"
"X1001000245_Tumor"	"X1001000245"	"Tumor"
"X1001000246_Myeloid"	"X1001000246"	"Myeloid"
"X1001000246_Tumor"	"X1001000246"	"Tumor"
"X1001000247_Myeloid"	"X1001000247"	"Myeloid"
"X1001000247_Tumor"	"X1001000247"	"Tumor"
"X1001000248_Myeloid"	"X1001000248"	"Myeloid"
"X1001000248_Tumor"	"X1001000248"	"Tumor"
"X1001000249_Myeloid"	"X1001000249"	"Myeloid"
"X1001000249_Tumor"	"X1001000249"	"Tumor"
"X1001000250_Myeloid"	"X1001000250"	"Myeloid"
"X1001000250_Tumor"	"X1001000250"	"Tumor"
"X1001000251_Myeloid"	"X1001000251"	"Myeloid"
"X1001000251_Tumor"	"X1001000251"	"Tumor"
"X1001000252_Myeloid"	"X1001000252"	"Myeloid"
"X1001000252_Tumor"	"X1001000252"	"Tumor"
"X1001000253_Myeloid"	"X1001000253"	"Myeloid"
"X1001000253_Tumor"	"X1001000253"	"Tumor"
"X1001000254_Myeloid"	"X1001000254"	"Myeloid"
"X1001000254_Stroma"	"X1001000254"	"Stroma"
"X1001000254_Tumor"	"X1001000254"	"Tumor"
"X1001000255_Myeloid"	"X1001000255"	"Myeloid"
"X1001000255_Tumor"	"X1001000255"	"Tumor"
"X1001000258_Myeloid"	"X1001000258"	"Myeloid"
"X1001000258_Tumor"	"X1001000258"	"Tumor"
"X1001000259_Myeloid"	"X1001000259"	"Myeloid"
"X1001000259_Stroma"	"X1001000259"	"Stroma"
"X1001000259_Tumor"	"X1001000259"	"Tumor"
"X1001000260_Myeloid"	"X1001000260"	"Myeloid"
"X1001000260_Tumor"	"X1001000260"	"Tumor"
"X1001000262_Myeloid"	"X1001000262"	"Myeloid"
"X1001000264_Myeloid"	"X1001000264"	"Myeloid"
"X1001000264_Tumor"	"X1001000264"	"Tumor"
"X1001000265_Myeloid"	"X1001000265"	"Myeloid"
"X1001000265_Tumor"	"X1001000265"	"Tumor"
"X1001000266_Myeloid"	"X1001000266"	"Myeloid"
"X1001000267_Myeloid"	"X1001000267"	"Myeloid"
"X1001000267_Stroma"	"X1001000267"	"Stroma"
"X1001000267_Tumor"	"X1001000267"	"Tumor"
"X1001000268_Myeloid"	"X1001000268"	"Myeloid"
"X1001000268_Tumor"	"X1001000268"	"Tumor"
"X1001000270_Myeloid"	"X1001000270"	"Myeloid"
"X1001000270_Tumor"	"X1001000270"	"Tumor"
"X1001000271_Myeloid"	"X1001000271"	"Myeloid"
"X1001000271_Tumor"	"X1001000271"	"Tumor"
