"geo_accession"	"age"	"exclusion markers"	"genetic background"	"phenotype markers"	"separation method"	"Sex"	"title"	"status"	"submission_date"	"last_update_date"	"type"	"channel_count"	"source_name_ch1"	"organism_ch1"	"characteristics_ch1"	"characteristics_ch1.1"	"characteristics_ch1.2"	"characteristics_ch1.3"	"characteristics_ch1.4"	"characteristics_ch1.5"	"molecule_ch1"	"extract_protocol_ch1"	"label_ch1"	"label_protocol_ch1"	"taxid_ch1"	"hyb_protocol"	"scan_protocol"	"data_processing"	"platform_id"	"contact_name"	"contact_laboratory"	"contact_department"	"contact_institute"	"contact_address"	"contact_city"	"contact_state"	"contact_zip/postal_code"	"contact_country"	"supplementary_file"	"data_row_count"	"age:ch1"	"exclusion markers:ch1"	"genetic background:ch1"	"phenotype markers:ch1"	"separation method:ch1"	"Sex:ch1"
"GSM1472010"	" 6 weeks"	" CD8/11c/19/25/49b/Gr1/Ter119-"	" C57BL/6J"	" CD3+CD4+CD62L+"	" FACs Aria"	" Male"	"T4.B6#3"	"Public on Dec 31 2014"	"Aug 12 2014"	"Dec 31 2014"	"RNA"	"1"	"Spleen"	"Mus musculus"	"age: 6 weeks"	"exclusion markers: CD8/11c/19/25/49b/Gr1/Ter119-"	"genetic background: C57BL/6J"	"phenotype markers: CD3+CD4+CD62L+"	"separation method: FACs Aria"	"Sex: Male"	"total RNA"	"TriZol"	"Biotin"	"Affymetrix GeneChip WT Terminal Labeling and Controls Kit"	"10090"	"Ambion WT Expression Kit"	"Affymetrix GeneChip Scanner"	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"Liang,,Yang"	"CBDM"	"Pathology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02115"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1472nnn/GSM1472010/suppl/GSM1472010_EA07068_203022_MOGENE-1_0-ST-V1_T4.B6_3.CEL.gz"	"24922"	"6 weeks"	"CD8/11c/19/25/49b/Gr1/Ter119-"	"C57BL/6J"	"CD3+CD4+CD62L+"	"FACs Aria"	"Male"
"GSM1472011"	" 6 weeks"	" CD8/11c/19/25/49b/Gr1/Ter119-"	" C57BL/6J"	" CD3+CD4+CD62L+"	" FACs Aria"	" Male"	"T4.B6#4"	"Public on Dec 31 2014"	"Aug 12 2014"	"Dec 31 2014"	"RNA"	"1"	"Spleen"	"Mus musculus"	"age: 6 weeks"	"exclusion markers: CD8/11c/19/25/49b/Gr1/Ter119-"	"genetic background: C57BL/6J"	"phenotype markers: CD3+CD4+CD62L+"	"separation method: FACs Aria"	"Sex: Male"	"total RNA"	"TriZol"	"Biotin"	"Affymetrix GeneChip WT Terminal Labeling and Controls Kit"	"10090"	"Ambion WT Expression Kit"	"Affymetrix GeneChip Scanner"	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"Liang,,Yang"	"CBDM"	"Pathology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02115"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1472nnn/GSM1472011/suppl/GSM1472011_EA07068_203023_MOGENE-1_0-ST-V1_T4.B6_4.CEL.gz"	"24922"	"6 weeks"	"CD8/11c/19/25/49b/Gr1/Ter119-"	"C57BL/6J"	"CD3+CD4+CD62L+"	"FACs Aria"	"Male"
"GSM1472012"	" 6 weeks"	" CD8/11c/19/25/49b/Gr1/Ter119-"	" C57BL/6J"	" CD3+CD4+CD62L+"	" FACs Aria"	" Male"	"T4.B6#5"	"Public on Dec 31 2014"	"Aug 12 2014"	"Dec 31 2014"	"RNA"	"1"	"Spleen"	"Mus musculus"	"age: 6 weeks"	"exclusion markers: CD8/11c/19/25/49b/Gr1/Ter119-"	"genetic background: C57BL/6J"	"phenotype markers: CD3+CD4+CD62L+"	"separation method: FACs Aria"	"Sex: Male"	"total RNA"	"TriZol"	"Biotin"	"Affymetrix GeneChip WT Terminal Labeling and Controls Kit"	"10090"	"Ambion WT Expression Kit"	"Affymetrix GeneChip Scanner"	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"Liang,,Yang"	"CBDM"	"Pathology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02115"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1472nnn/GSM1472012/suppl/GSM1472012_EA07068_203024_MOGENE-1_0-ST-V1_T4.B6_5.CEL.gz"	"24922"	"6 weeks"	"CD8/11c/19/25/49b/Gr1/Ter119-"	"C57BL/6J"	"CD3+CD4+CD62L+"	"FACs Aria"	"Male"
"GSM1472013"	" 6 weeks"	" CD8/11c/19/25/49b/Gr1/Ter119-"	" BPL/1J"	" CD3+CD4+CD62L+"	" FACs Aria"	" Male"	"T4.BPL#1"	"Public on Dec 31 2014"	"Aug 12 2014"	"Dec 31 2014"	"RNA"	"1"	"Spleen"	"Mus musculus"	"age: 6 weeks"	"exclusion markers: CD8/11c/19/25/49b/Gr1/Ter119-"	"genetic background: BPL/1J"	"phenotype markers: CD3+CD4+CD62L+"	"separation method: FACs Aria"	"Sex: Male"	"total RNA"	"TriZol"	"Biotin"	"Affymetrix GeneChip WT Terminal Labeling and Controls Kit"	"10090"	"Ambion WT Expression Kit"	"Affymetrix GeneChip Scanner"	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"Liang,,Yang"	"CBDM"	"Pathology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02115"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1472nnn/GSM1472013/suppl/GSM1472013_EA07068_203025_MOGENE-1_0-ST-V1_T4.BPL_1.CEL.gz"	"24922"	"6 weeks"	"CD8/11c/19/25/49b/Gr1/Ter119-"	"BPL/1J"	"CD3+CD4+CD62L+"	"FACs Aria"	"Male"
"GSM1472014"	" 6 weeks"	" CD8/11c/19/25/49b/Gr1/Ter119-"	" BPL/1J"	" CD3+CD4+CD62L+"	" FACs Aria"	" Male"	"T4.BPL#2"	"Public on Dec 31 2014"	"Aug 12 2014"	"Dec 31 2014"	"RNA"	"1"	"Spleen"	"Mus musculus"	"age: 6 weeks"	"exclusion markers: CD8/11c/19/25/49b/Gr1/Ter119-"	"genetic background: BPL/1J"	"phenotype markers: CD3+CD4+CD62L+"	"separation method: FACs Aria"	"Sex: Male"	"total RNA"	"TriZol"	"Biotin"	"Affymetrix GeneChip WT Terminal Labeling and Controls Kit"	"10090"	"Ambion WT Expression Kit"	"Affymetrix GeneChip Scanner"	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"Liang,,Yang"	"CBDM"	"Pathology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02115"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1472nnn/GSM1472014/suppl/GSM1472014_EA07068_203026_MOGENE-1_0-ST-V1_T4.BPL_2.CEL.gz"	"24922"	"6 weeks"	"CD8/11c/19/25/49b/Gr1/Ter119-"	"BPL/1J"	"CD3+CD4+CD62L+"	"FACs Aria"	"Male"
"GSM1472015"	" 6 weeks"	" CD8/11c/19/25/49b/Gr1/Ter119-"	" BTBR T+ tf/J"	" CD3+CD4+CD62L+"	" FACs Aria"	" Male"	"T4.BTBR#1"	"Public on Dec 31 2014"	"Aug 12 2014"	"Dec 31 2014"	"RNA"	"1"	"Spleen"	"Mus musculus"	"age: 6 weeks"	"exclusion markers: CD8/11c/19/25/49b/Gr1/Ter119-"	"genetic background: BTBR T+ tf/J"	"phenotype markers: CD3+CD4+CD62L+"	"separation method: FACs Aria"	"Sex: Male"	"total RNA"	"TriZol"	"Biotin"	"Affymetrix GeneChip WT Terminal Labeling and Controls Kit"	"10090"	"Ambion WT Expression Kit"	"Affymetrix GeneChip Scanner"	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"Liang,,Yang"	"CBDM"	"Pathology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02115"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1472nnn/GSM1472015/suppl/GSM1472015_EA07068_203103_MOGENE-1_0-ST-V1_T4.BTB_1.CEL.gz"	"24922"	"6 weeks"	"CD8/11c/19/25/49b/Gr1/Ter119-"	"BTBR T+ tf/J"	"CD3+CD4+CD62L+"	"FACs Aria"	"Male"
"GSM1472016"	" 6 weeks"	" CD8/11c/19/25/49b/Gr1/Ter119-"	" BTBR T+ tf/J"	" CD3+CD4+CD62L+"	" FACs Aria"	" Male"	"T4.BTBR#2"	"Public on Dec 31 2014"	"Aug 12 2014"	"Dec 31 2014"	"RNA"	"1"	"Spleen"	"Mus musculus"	"age: 6 weeks"	"exclusion markers: CD8/11c/19/25/49b/Gr1/Ter119-"	"genetic background: BTBR T+ tf/J"	"phenotype markers: CD3+CD4+CD62L+"	"separation method: FACs Aria"	"Sex: Male"	"total RNA"	"TriZol"	"Biotin"	"Affymetrix GeneChip WT Terminal Labeling and Controls Kit"	"10090"	"Ambion WT Expression Kit"	"Affymetrix GeneChip Scanner"	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"Liang,,Yang"	"CBDM"	"Pathology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02115"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1472nnn/GSM1472016/suppl/GSM1472016_EA07068_203104_MOGENE-1_0-ST-V1_T4.BTB_2.CEL.gz"	"24922"	"6 weeks"	"CD8/11c/19/25/49b/Gr1/Ter119-"	"BTBR T+ tf/J"	"CD3+CD4+CD62L+"	"FACs Aria"	"Male"
"GSM1472017"	" 6 weeks"	" CD8/11c/19/25/49b/Gr1/Ter119-"	" BALB/cByJ"	" CD3+CD4+CD62L+"	" FACs Aria"	" Male"	"T4.Balb#1"	"Public on Dec 31 2014"	"Aug 12 2014"	"Dec 31 2014"	"RNA"	"1"	"Spleen"	"Mus musculus"	"age: 6 weeks"	"exclusion markers: CD8/11c/19/25/49b/Gr1/Ter119-"	"genetic background: BALB/cByJ"	"phenotype markers: CD3+CD4+CD62L+"	"separation method: FACs Aria"	"Sex: Male"	"total RNA"	"TriZol"	"Biotin"	"Affymetrix GeneChip WT Terminal Labeling and Controls Kit"	"10090"	"Ambion WT Expression Kit"	"Affymetrix GeneChip Scanner"	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"Liang,,Yang"	"CBDM"	"Pathology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02115"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1472nnn/GSM1472017/suppl/GSM1472017_EA07068_203101_MOGENE-1_0-ST-V1_T4.BAL_1.CEL.gz"	"24922"	"6 weeks"	"CD8/11c/19/25/49b/Gr1/Ter119-"	"BALB/cByJ"	"CD3+CD4+CD62L+"	"FACs Aria"	"Male"
"GSM1472018"	" 6 weeks"	" CD8/11c/19/25/49b/Gr1/Ter119-"	" BALB/cByJ"	" CD3+CD4+CD62L+"	" FACs Aria"	" Male"	"T4.Balb#2"	"Public on Dec 31 2014"	"Aug 12 2014"	"Dec 31 2014"	"RNA"	"1"	"Spleen"	"Mus musculus"	"age: 6 weeks"	"exclusion markers: CD8/11c/19/25/49b/Gr1/Ter119-"	"genetic background: BALB/cByJ"	"phenotype markers: CD3+CD4+CD62L+"	"separation method: FACs Aria"	"Sex: Male"	"total RNA"	"TriZol"	"Biotin"	"Affymetrix GeneChip WT Terminal Labeling and Controls Kit"	"10090"	"Ambion WT Expression Kit"	"Affymetrix GeneChip Scanner"	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"Liang,,Yang"	"CBDM"	"Pathology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02115"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1472nnn/GSM1472018/suppl/GSM1472018_EA07068_203102_MOGENE-1_0-ST-V1_T4.BAL_2.CEL.gz"	"24922"	"6 weeks"	"CD8/11c/19/25/49b/Gr1/Ter119-"	"BALB/cByJ"	"CD3+CD4+CD62L+"	"FACs Aria"	"Male"
"GSM1472019"	" 6 weeks"	" CD8/11c/19/25/49b/Gr1/Ter119-"	" C3H/HeJ"	" CD3+CD4+CD62L+"	" FACs Aria"	" Male"	"T4.C3H#1"	"Public on Dec 31 2014"	"Aug 12 2014"	"Dec 31 2014"	"RNA"	"1"	"Spleen"	"Mus musculus"	"age: 6 weeks"	"exclusion markers: CD8/11c/19/25/49b/Gr1/Ter119-"	"genetic background: C3H/HeJ"	"phenotype markers: CD3+CD4+CD62L+"	"separation method: FACs Aria"	"Sex: Male"	"total RNA"	"TriZol"	"Biotin"	"Affymetrix GeneChip WT Terminal Labeling and Controls Kit"	"10090"	"Ambion WT Expression Kit"	"Affymetrix GeneChip Scanner"	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"Liang,,Yang"	"CBDM"	"Pathology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02115"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1472nnn/GSM1472019/suppl/GSM1472019_EA07068_203105_MOGENE-1_0-ST-V1_T4.C3H_1.CEL.gz"	"24922"	"6 weeks"	"CD8/11c/19/25/49b/Gr1/Ter119-"	"C3H/HeJ"	"CD3+CD4+CD62L+"	"FACs Aria"	"Male"
"GSM1472020"	" 6 weeks"	" CD8/11c/19/25/49b/Gr1/Ter119-"	" C3H/HeJ"	" CD3+CD4+CD62L+"	" FACs Aria"	" Male"	"T4.C3H#2"	"Public on Dec 31 2014"	"Aug 12 2014"	"Dec 31 2014"	"RNA"	"1"	"Spleen"	"Mus musculus"	"age: 6 weeks"	"exclusion markers: CD8/11c/19/25/49b/Gr1/Ter119-"	"genetic background: C3H/HeJ"	"phenotype markers: CD3+CD4+CD62L+"	"separation method: FACs Aria"	"Sex: Male"	"total RNA"	"TriZol"	"Biotin"	"Affymetrix GeneChip WT Terminal Labeling and Controls Kit"	"10090"	"Ambion WT Expression Kit"	"Affymetrix GeneChip Scanner"	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"Liang,,Yang"	"CBDM"	"Pathology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02115"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1472nnn/GSM1472020/suppl/GSM1472020_EA07068_203106_MOGENE-1_0-ST-V1_T4.C3H_2.CEL.gz"	"24922"	"6 weeks"	"CD8/11c/19/25/49b/Gr1/Ter119-"	"C3H/HeJ"	"CD3+CD4+CD62L+"	"FACs Aria"	"Male"
"GSM1472021"	" 6 weeks"	" CD8/11c/19/25/49b/Gr1/Ter119-"	" CBA/CaJ"	" CD3+CD4+CD62L+"	" FACs Aria"	" Male"	"T4.C57BR#1"	"Public on Dec 31 2014"	"Aug 12 2014"	"Dec 31 2014"	"RNA"	"1"	"Spleen"	"Mus musculus"	"age: 6 weeks"	"exclusion markers: CD8/11c/19/25/49b/Gr1/Ter119-"	"genetic background: CBA/CaJ"	"phenotype markers: CD3+CD4+CD62L+"	"separation method: FACs Aria"	"Sex: Male"	"total RNA"	"TriZol"	"Biotin"	"Affymetrix GeneChip WT Terminal Labeling and Controls Kit"	"10090"	"Ambion WT Expression Kit"	"Affymetrix GeneChip Scanner"	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"Liang,,Yang"	"CBDM"	"Pathology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02115"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1472nnn/GSM1472021/suppl/GSM1472021_EA07068_203027_MOGENE-1_0-ST-V1_T4.C57BR_1.CEL.gz"	"24922"	"6 weeks"	"CD8/11c/19/25/49b/Gr1/Ter119-"	"CBA/CaJ"	"CD3+CD4+CD62L+"	"FACs Aria"	"Male"
"GSM1472022"	" 6 weeks"	" CD8/11c/19/25/49b/Gr1/Ter119-"	" CBA/CaJ"	" CD3+CD4+CD62L+"	" FACs Aria"	" Male"	"T4.C57BR#2"	"Public on Dec 31 2014"	"Aug 12 2014"	"Dec 31 2014"	"RNA"	"1"	"Spleen"	"Mus musculus"	"age: 6 weeks"	"exclusion markers: CD8/11c/19/25/49b/Gr1/Ter119-"	"genetic background: CBA/CaJ"	"phenotype markers: CD3+CD4+CD62L+"	"separation method: FACs Aria"	"Sex: Male"	"total RNA"	"TriZol"	"Biotin"	"Affymetrix GeneChip WT Terminal Labeling and Controls Kit"	"10090"	"Ambion WT Expression Kit"	"Affymetrix GeneChip Scanner"	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"Liang,,Yang"	"CBDM"	"Pathology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02115"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1472nnn/GSM1472022/suppl/GSM1472022_EA07068_203028_MOGENE-1_0-ST-V1_T4.C57BR_2.CEL.gz"	"24922"	"6 weeks"	"CD8/11c/19/25/49b/Gr1/Ter119-"	"CBA/CaJ"	"CD3+CD4+CD62L+"	"FACs Aria"	"Male"
"GSM1472023"	" 6 weeks"	" CD8/11c/19/25/49b/Gr1/Ter119-"	" C57BLKS/J"	" CD3+CD4+CD62L+"	" FACs Aria"	" Male"	"T4.C57KS#1"	"Public on Dec 31 2014"	"Aug 12 2014"	"Dec 31 2014"	"RNA"	"1"	"Spleen"	"Mus musculus"	"age: 6 weeks"	"exclusion markers: CD8/11c/19/25/49b/Gr1/Ter119-"	"genetic background: C57BLKS/J"	"phenotype markers: CD3+CD4+CD62L+"	"separation method: FACs Aria"	"Sex: Male"	"total RNA"	"TriZol"	"Biotin"	"Affymetrix GeneChip WT Terminal Labeling and Controls Kit"	"10090"	"Ambion WT Expression Kit"	"Affymetrix GeneChip Scanner"	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"Liang,,Yang"	"CBDM"	"Pathology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02115"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1472nnn/GSM1472023/suppl/GSM1472023_EA07068_203119_MOGENE-1_0-ST-V1_T4.LKS_1.CEL.gz"	"24922"	"6 weeks"	"CD8/11c/19/25/49b/Gr1/Ter119-"	"C57BLKS/J"	"CD3+CD4+CD62L+"	"FACs Aria"	"Male"
"GSM1472024"	" 6 weeks"	" CD8/11c/19/25/49b/Gr1/Ter119-"	" C57BLKS/J"	" CD3+CD4+CD62L+"	" FACs Aria"	" Male"	"T4.C57KS#2"	"Public on Dec 31 2014"	"Aug 12 2014"	"Dec 31 2014"	"RNA"	"1"	"Spleen"	"Mus musculus"	"age: 6 weeks"	"exclusion markers: CD8/11c/19/25/49b/Gr1/Ter119-"	"genetic background: C57BLKS/J"	"phenotype markers: CD3+CD4+CD62L+"	"separation method: FACs Aria"	"Sex: Male"	"total RNA"	"TriZol"	"Biotin"	"Affymetrix GeneChip WT Terminal Labeling and Controls Kit"	"10090"	"Ambion WT Expression Kit"	"Affymetrix GeneChip Scanner"	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"Liang,,Yang"	"CBDM"	"Pathology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02115"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1472nnn/GSM1472024/suppl/GSM1472024_EA07068_203120_MOGENE-1_0-ST-V1_T4.LKS_2.CEL.gz"	"24922"	"6 weeks"	"CD8/11c/19/25/49b/Gr1/Ter119-"	"C57BLKS/J"	"CD3+CD4+CD62L+"	"FACs Aria"	"Male"
"GSM1472025"	" 6 weeks"	" CD8/11c/19/25/49b/Gr1/Ter119-"	" C57L/J"	" CD3+CD4+CD62L+"	" FACs Aria"	" Male"	"T4.C57L#1"	"Public on Dec 31 2014"	"Aug 12 2014"	"Dec 31 2014"	"RNA"	"1"	"Spleen"	"Mus musculus"	"age: 6 weeks"	"exclusion markers: CD8/11c/19/25/49b/Gr1/Ter119-"	"genetic background: C57L/J"	"phenotype markers: CD3+CD4+CD62L+"	"separation method: FACs Aria"	"Sex: Male"	"total RNA"	"TriZol"	"Biotin"	"Affymetrix GeneChip WT Terminal Labeling and Controls Kit"	"10090"	"Ambion WT Expression Kit"	"Affymetrix GeneChip Scanner"	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"Liang,,Yang"	"CBDM"	"Pathology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02115"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1472nnn/GSM1472025/suppl/GSM1472025_EA07068_203109_MOGENE-1_0-ST-V1_T4.C57L_1.CEL.gz"	"24922"	"6 weeks"	"CD8/11c/19/25/49b/Gr1/Ter119-"	"C57L/J"	"CD3+CD4+CD62L+"	"FACs Aria"	"Male"
"GSM1472026"	" 6 weeks"	" CD8/11c/19/25/49b/Gr1/Ter119-"	" C57L/J"	" CD3+CD4+CD62L+"	" FACs Aria"	" Male"	"T4.C57L#2"	"Public on Dec 31 2014"	"Aug 12 2014"	"Dec 31 2014"	"RNA"	"1"	"Spleen"	"Mus musculus"	"age: 6 weeks"	"exclusion markers: CD8/11c/19/25/49b/Gr1/Ter119-"	"genetic background: C57L/J"	"phenotype markers: CD3+CD4+CD62L+"	"separation method: FACs Aria"	"Sex: Male"	"total RNA"	"TriZol"	"Biotin"	"Affymetrix GeneChip WT Terminal Labeling and Controls Kit"	"10090"	"Ambion WT Expression Kit"	"Affymetrix GeneChip Scanner"	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"Liang,,Yang"	"CBDM"	"Pathology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02115"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1472nnn/GSM1472026/suppl/GSM1472026_EA07068_203110_MOGENE-1_0-ST-V1_T4.C57L_2.CEL.gz"	"24922"	"6 weeks"	"CD8/11c/19/25/49b/Gr1/Ter119-"	"C57L/J"	"CD3+CD4+CD62L+"	"FACs Aria"	"Male"
"GSM1472027"	" 6 weeks"	" CD8/11c/19/25/49b/Gr1/Ter119-"	" CAST/EiJ"	" CD3+CD4+CD62L+"	" FACs Aria"	" Male"	"T4.CAS#2"	"Public on Dec 31 2014"	"Aug 12 2014"	"Dec 31 2014"	"RNA"	"1"	"Spleen"	"Mus musculus"	"age: 6 weeks"	"exclusion markers: CD8/11c/19/25/49b/Gr1/Ter119-"	"genetic background: CAST/EiJ"	"phenotype markers: CD3+CD4+CD62L+"	"separation method: FACs Aria"	"Sex: Male"	"total RNA"	"TriZol"	"Biotin"	"Affymetrix GeneChip WT Terminal Labeling and Controls Kit"	"10090"	"Ambion WT Expression Kit"	"Affymetrix GeneChip Scanner"	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"Liang,,Yang"	"CBDM"	"Pathology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02115"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1472nnn/GSM1472027/suppl/GSM1472027_EA07068_203111_MOGENE-1_0-ST-V1_T4.CAS_2.CEL.gz"	"24922"	"6 weeks"	"CD8/11c/19/25/49b/Gr1/Ter119-"	"CAST/EiJ"	"CD3+CD4+CD62L+"	"FACs Aria"	"Male"
