"geo_accession"	"tissue"	"disease state"	"title"	"status"	"submission_date"	"last_update_date"	"type"	"channel_count"	"source_name_ch1"	"organism_ch1"	"characteristics_ch1"	"characteristics_ch1.1"	"molecule_ch1"	"extract_protocol_ch1"	"label_ch1"	"label_protocol_ch1"	"taxid_ch1"	"hyb_protocol"	"scan_protocol"	"description"	"data_processing"	"platform_id"	"contact_name"	"contact_email"	"contact_department"	"contact_institute"	"contact_address"	"contact_city"	"contact_zip/postal_code"	"contact_country"	"supplementary_file"	"data_row_count"	"disease state:ch1"	"tissue:ch1"
"GSM5906205"	"penis"	"Penile cancer"	"PA17T"	"Public on Aug 16 2022"	"Feb 17 2022"	"Aug 16 2022"	"RNA"	"1"	"Penile cancer"	"Homo sapiens"	"tissue: penis"	"disease state: Penile cancer"	"total RNA"	"RNA was isolated from fresh-frozen samples using the RNeasy mini kit (Qiagen, Valencia, USA), according to the manufacturers’ instructions"	"biotin"	"Following the manufacturer protocol, we reverse-transcribed and amplified 2 ug of total RNA to cDNA using the GeneChip® Whole Transcript Labeling Assay(Affymetrix, Santa Clara, CA, USA)."	"9606"	"Hybridization of 200 μl of the hybridization cocktail was performed onto the GeneChip® Human Transcriptome Array 2.0 (Affymetrix, Santa Clara, CA, USA) at 45°C, 60 rpm for 18 hours in a hybridization oven."	"The scanning was performed using Affymetrix GeneChip Scanner 7000 (Affymetrix/ThermoFisher, USA)."	"Gene expression data from penile usual carcinoma"	"The data normalization was performed with Transcriptome Analysis Console (TAC, ThermoFisher, USA, v.4.0) using RMA."	"GPL17586"	"Silvia,Regina,Rogatto"	"Silvia.Regina.Rogatto@rsyd.dk"	"Clinical Genetics"	"University Hospital of Southern Denmark – Vejle"	"Beriderbakken 4"	"Vejle"	"7100"	"Denmark"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5906nnn/GSM5906205/suppl/GSM5906205_PA17T_HTA-2_0.cel.gz"	"67528"	"Penile cancer"	"penis"
"GSM5906206"	"penis"	"Penile cancer"	"PA23T"	"Public on Aug 16 2022"	"Feb 17 2022"	"Aug 16 2022"	"RNA"	"1"	"Penile cancer"	"Homo sapiens"	"tissue: penis"	"disease state: Penile cancer"	"total RNA"	"RNA was isolated from fresh-frozen samples using the RNeasy mini kit (Qiagen, Valencia, USA), according to the manufacturers’ instructions"	"biotin"	"Following the manufacturer protocol, we reverse-transcribed and amplified 2 ug of total RNA to cDNA using the GeneChip® Whole Transcript Labeling Assay(Affymetrix, Santa Clara, CA, USA)."	"9606"	"Hybridization of 200 μl of the hybridization cocktail was performed onto the GeneChip® Human Transcriptome Array 2.0 (Affymetrix, Santa Clara, CA, USA) at 45°C, 60 rpm for 18 hours in a hybridization oven."	"The scanning was performed using Affymetrix GeneChip Scanner 7000 (Affymetrix/ThermoFisher, USA)."	"Gene expression data from penile usual carcinoma"	"The data normalization was performed with Transcriptome Analysis Console (TAC, ThermoFisher, USA, v.4.0) using RMA."	"GPL17586"	"Silvia,Regina,Rogatto"	"Silvia.Regina.Rogatto@rsyd.dk"	"Clinical Genetics"	"University Hospital of Southern Denmark – Vejle"	"Beriderbakken 4"	"Vejle"	"7100"	"Denmark"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5906nnn/GSM5906206/suppl/GSM5906206_PA23T_HTA-2_0.cel.gz"	"67528"	"Penile cancer"	"penis"
"GSM5906207"	"penis"	"Penile cancer"	"PA26T"	"Public on Aug 16 2022"	"Feb 17 2022"	"Aug 16 2022"	"RNA"	"1"	"Penile cancer"	"Homo sapiens"	"tissue: penis"	"disease state: Penile cancer"	"total RNA"	"RNA was isolated from fresh-frozen samples using the RNeasy mini kit (Qiagen, Valencia, USA), according to the manufacturers’ instructions"	"biotin"	"Following the manufacturer protocol, we reverse-transcribed and amplified 2 ug of total RNA to cDNA using the GeneChip® Whole Transcript Labeling Assay(Affymetrix, Santa Clara, CA, USA)."	"9606"	"Hybridization of 200 μl of the hybridization cocktail was performed onto the GeneChip® Human Transcriptome Array 2.0 (Affymetrix, Santa Clara, CA, USA) at 45°C, 60 rpm for 18 hours in a hybridization oven."	"The scanning was performed using Affymetrix GeneChip Scanner 7000 (Affymetrix/ThermoFisher, USA)."	"Gene expression data from penile usual carcinoma"	"The data normalization was performed with Transcriptome Analysis Console (TAC, ThermoFisher, USA, v.4.0) using RMA."	"GPL17586"	"Silvia,Regina,Rogatto"	"Silvia.Regina.Rogatto@rsyd.dk"	"Clinical Genetics"	"University Hospital of Southern Denmark – Vejle"	"Beriderbakken 4"	"Vejle"	"7100"	"Denmark"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5906nnn/GSM5906207/suppl/GSM5906207_PA26T_HTA-2_0.cel.gz"	"67528"	"Penile cancer"	"penis"
"GSM5906208"	"penis"	"Penile cancer"	"PA27T"	"Public on Aug 16 2022"	"Feb 17 2022"	"Aug 16 2022"	"RNA"	"1"	"Penile cancer"	"Homo sapiens"	"tissue: penis"	"disease state: Penile cancer"	"total RNA"	"RNA was isolated from fresh-frozen samples using the RNeasy mini kit (Qiagen, Valencia, USA), according to the manufacturers’ instructions"	"biotin"	"Following the manufacturer protocol, we reverse-transcribed and amplified 2 ug of total RNA to cDNA using the GeneChip® Whole Transcript Labeling Assay(Affymetrix, Santa Clara, CA, USA)."	"9606"	"Hybridization of 200 μl of the hybridization cocktail was performed onto the GeneChip® Human Transcriptome Array 2.0 (Affymetrix, Santa Clara, CA, USA) at 45°C, 60 rpm for 18 hours in a hybridization oven."	"The scanning was performed using Affymetrix GeneChip Scanner 7000 (Affymetrix/ThermoFisher, USA)."	"Gene expression data from penile usual carcinoma"	"The data normalization was performed with Transcriptome Analysis Console (TAC, ThermoFisher, USA, v.4.0) using RMA."	"GPL17586"	"Silvia,Regina,Rogatto"	"Silvia.Regina.Rogatto@rsyd.dk"	"Clinical Genetics"	"University Hospital of Southern Denmark – Vejle"	"Beriderbakken 4"	"Vejle"	"7100"	"Denmark"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5906nnn/GSM5906208/suppl/GSM5906208_PA27T_HTA-2_0.cel.gz"	"67528"	"Penile cancer"	"penis"
"GSM5906209"	"penis"	"Penile cancer"	"PA29T"	"Public on Aug 16 2022"	"Feb 17 2022"	"Aug 16 2022"	"RNA"	"1"	"Penile cancer"	"Homo sapiens"	"tissue: penis"	"disease state: Penile cancer"	"total RNA"	"RNA was isolated from fresh-frozen samples using the RNeasy mini kit (Qiagen, Valencia, USA), according to the manufacturers’ instructions"	"biotin"	"Following the manufacturer protocol, we reverse-transcribed and amplified 2 ug of total RNA to cDNA using the GeneChip® Whole Transcript Labeling Assay(Affymetrix, Santa Clara, CA, USA)."	"9606"	"Hybridization of 200 μl of the hybridization cocktail was performed onto the GeneChip® Human Transcriptome Array 2.0 (Affymetrix, Santa Clara, CA, USA) at 45°C, 60 rpm for 18 hours in a hybridization oven."	"The scanning was performed using Affymetrix GeneChip Scanner 7000 (Affymetrix/ThermoFisher, USA)."	"Gene expression data from penile usual carcinoma"	"The data normalization was performed with Transcriptome Analysis Console (TAC, ThermoFisher, USA, v.4.0) using RMA."	"GPL17586"	"Silvia,Regina,Rogatto"	"Silvia.Regina.Rogatto@rsyd.dk"	"Clinical Genetics"	"University Hospital of Southern Denmark – Vejle"	"Beriderbakken 4"	"Vejle"	"7100"	"Denmark"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5906nnn/GSM5906209/suppl/GSM5906209_PA29T_HTA-2_0.cel.gz"	"67528"	"Penile cancer"	"penis"
"GSM5906210"	"penis"	"Penile cancer"	"PA40T.1"	"Public on Aug 16 2022"	"Feb 17 2022"	"Aug 16 2022"	"RNA"	"1"	"Penile cancer"	"Homo sapiens"	"tissue: penis"	"disease state: Penile cancer"	"total RNA"	"RNA was isolated from fresh-frozen samples using the RNeasy mini kit (Qiagen, Valencia, USA), according to the manufacturers’ instructions"	"biotin"	"Following the manufacturer protocol, we reverse-transcribed and amplified 2 ug of total RNA to cDNA using the GeneChip® Whole Transcript Labeling Assay(Affymetrix, Santa Clara, CA, USA)."	"9606"	"Hybridization of 200 μl of the hybridization cocktail was performed onto the GeneChip® Human Transcriptome Array 2.0 (Affymetrix, Santa Clara, CA, USA) at 45°C, 60 rpm for 18 hours in a hybridization oven."	"The scanning was performed using Affymetrix GeneChip Scanner 7000 (Affymetrix/ThermoFisher, USA)."	"Gene expression data from penile usual carcinoma"	"The data normalization was performed with Transcriptome Analysis Console (TAC, ThermoFisher, USA, v.4.0) using RMA."	"GPL17586"	"Silvia,Regina,Rogatto"	"Silvia.Regina.Rogatto@rsyd.dk"	"Clinical Genetics"	"University Hospital of Southern Denmark – Vejle"	"Beriderbakken 4"	"Vejle"	"7100"	"Denmark"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5906nnn/GSM5906210/suppl/GSM5906210_PA40T.1_HTA-2_0.CEL.gz"	"67528"	"Penile cancer"	"penis"
"GSM5906211"	"penis"	"Penile cancer"	"PA41T.1"	"Public on Aug 16 2022"	"Feb 17 2022"	"Aug 16 2022"	"RNA"	"1"	"Penile cancer"	"Homo sapiens"	"tissue: penis"	"disease state: Penile cancer"	"total RNA"	"RNA was isolated from fresh-frozen samples using the RNeasy mini kit (Qiagen, Valencia, USA), according to the manufacturers’ instructions"	"biotin"	"Following the manufacturer protocol, we reverse-transcribed and amplified 2 ug of total RNA to cDNA using the GeneChip® Whole Transcript Labeling Assay(Affymetrix, Santa Clara, CA, USA)."	"9606"	"Hybridization of 200 μl of the hybridization cocktail was performed onto the GeneChip® Human Transcriptome Array 2.0 (Affymetrix, Santa Clara, CA, USA) at 45°C, 60 rpm for 18 hours in a hybridization oven."	"The scanning was performed using Affymetrix GeneChip Scanner 7000 (Affymetrix/ThermoFisher, USA)."	"Gene expression data from penile usual carcinoma"	"The data normalization was performed with Transcriptome Analysis Console (TAC, ThermoFisher, USA, v.4.0) using RMA."	"GPL17586"	"Silvia,Regina,Rogatto"	"Silvia.Regina.Rogatto@rsyd.dk"	"Clinical Genetics"	"University Hospital of Southern Denmark – Vejle"	"Beriderbakken 4"	"Vejle"	"7100"	"Denmark"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5906nnn/GSM5906211/suppl/GSM5906211_PA41T.1_HTA-2_0.CEL.gz"	"67528"	"Penile cancer"	"penis"
"GSM5906212"	"penis"	"Penile cancer"	"PA42T.1"	"Public on Aug 16 2022"	"Feb 17 2022"	"Aug 16 2022"	"RNA"	"1"	"Penile cancer"	"Homo sapiens"	"tissue: penis"	"disease state: Penile cancer"	"total RNA"	"RNA was isolated from fresh-frozen samples using the RNeasy mini kit (Qiagen, Valencia, USA), according to the manufacturers’ instructions"	"biotin"	"Following the manufacturer protocol, we reverse-transcribed and amplified 2 ug of total RNA to cDNA using the GeneChip® Whole Transcript Labeling Assay(Affymetrix, Santa Clara, CA, USA)."	"9606"	"Hybridization of 200 μl of the hybridization cocktail was performed onto the GeneChip® Human Transcriptome Array 2.0 (Affymetrix, Santa Clara, CA, USA) at 45°C, 60 rpm for 18 hours in a hybridization oven."	"The scanning was performed using Affymetrix GeneChip Scanner 7000 (Affymetrix/ThermoFisher, USA)."	"Gene expression data from penile usual carcinoma"	"The data normalization was performed with Transcriptome Analysis Console (TAC, ThermoFisher, USA, v.4.0) using RMA."	"GPL17586"	"Silvia,Regina,Rogatto"	"Silvia.Regina.Rogatto@rsyd.dk"	"Clinical Genetics"	"University Hospital of Southern Denmark – Vejle"	"Beriderbakken 4"	"Vejle"	"7100"	"Denmark"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5906nnn/GSM5906212/suppl/GSM5906212_PA42T.1_HTA-2_0.CEL.gz"	"67528"	"Penile cancer"	"penis"
"GSM5906213"	"penis"	"Penile cancer"	"PE2T"	"Public on Aug 16 2022"	"Feb 17 2022"	"Aug 16 2022"	"RNA"	"1"	"Penile cancer"	"Homo sapiens"	"tissue: penis"	"disease state: Penile cancer"	"total RNA"	"RNA was isolated from fresh-frozen samples using the RNeasy mini kit (Qiagen, Valencia, USA), according to the manufacturers’ instructions"	"biotin"	"Following the manufacturer protocol, we reverse-transcribed and amplified 2 ug of total RNA to cDNA using the GeneChip® Whole Transcript Labeling Assay(Affymetrix, Santa Clara, CA, USA)."	"9606"	"Hybridization of 200 μl of the hybridization cocktail was performed onto the GeneChip® Human Transcriptome Array 2.0 (Affymetrix, Santa Clara, CA, USA) at 45°C, 60 rpm for 18 hours in a hybridization oven."	"The scanning was performed using Affymetrix GeneChip Scanner 7000 (Affymetrix/ThermoFisher, USA)."	"Gene expression data from penile usual carcinoma"	"The data normalization was performed with Transcriptome Analysis Console (TAC, ThermoFisher, USA, v.4.0) using RMA."	"GPL17586"	"Silvia,Regina,Rogatto"	"Silvia.Regina.Rogatto@rsyd.dk"	"Clinical Genetics"	"University Hospital of Southern Denmark – Vejle"	"Beriderbakken 4"	"Vejle"	"7100"	"Denmark"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5906nnn/GSM5906213/suppl/GSM5906213_PE2T_HTA-2_0.cel.gz"	"67528"	"Penile cancer"	"penis"
"GSM5906214"	"penis"	"Penile cancer"	"PE17T"	"Public on Aug 16 2022"	"Feb 17 2022"	"Aug 16 2022"	"RNA"	"1"	"Penile cancer"	"Homo sapiens"	"tissue: penis"	"disease state: Penile cancer"	"total RNA"	"RNA was isolated from fresh-frozen samples using the RNeasy mini kit (Qiagen, Valencia, USA), according to the manufacturers’ instructions"	"biotin"	"Following the manufacturer protocol, we reverse-transcribed and amplified 2 ug of total RNA to cDNA using the GeneChip® Whole Transcript Labeling Assay(Affymetrix, Santa Clara, CA, USA)."	"9606"	"Hybridization of 200 μl of the hybridization cocktail was performed onto the GeneChip® Human Transcriptome Array 2.0 (Affymetrix, Santa Clara, CA, USA) at 45°C, 60 rpm for 18 hours in a hybridization oven."	"The scanning was performed using Affymetrix GeneChip Scanner 7000 (Affymetrix/ThermoFisher, USA)."	"Gene expression data from penile usual carcinoma"	"The data normalization was performed with Transcriptome Analysis Console (TAC, ThermoFisher, USA, v.4.0) using RMA."	"GPL17586"	"Silvia,Regina,Rogatto"	"Silvia.Regina.Rogatto@rsyd.dk"	"Clinical Genetics"	"University Hospital of Southern Denmark – Vejle"	"Beriderbakken 4"	"Vejle"	"7100"	"Denmark"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5906nnn/GSM5906214/suppl/GSM5906214_PE17T_HTA-2_0.cel.gz"	"67528"	"Penile cancer"	"penis"
"GSM5906215"	"penis"	"Penile cancer"	"PE23T"	"Public on Aug 16 2022"	"Feb 17 2022"	"Aug 16 2022"	"RNA"	"1"	"Penile cancer"	"Homo sapiens"	"tissue: penis"	"disease state: Penile cancer"	"total RNA"	"RNA was isolated from fresh-frozen samples using the RNeasy mini kit (Qiagen, Valencia, USA), according to the manufacturers’ instructions"	"biotin"	"Following the manufacturer protocol, we reverse-transcribed and amplified 2 ug of total RNA to cDNA using the GeneChip® Whole Transcript Labeling Assay(Affymetrix, Santa Clara, CA, USA)."	"9606"	"Hybridization of 200 μl of the hybridization cocktail was performed onto the GeneChip® Human Transcriptome Array 2.0 (Affymetrix, Santa Clara, CA, USA) at 45°C, 60 rpm for 18 hours in a hybridization oven."	"The scanning was performed using Affymetrix GeneChip Scanner 7000 (Affymetrix/ThermoFisher, USA)."	"Gene expression data from penile usual carcinoma"	"The data normalization was performed with Transcriptome Analysis Console (TAC, ThermoFisher, USA, v.4.0) using RMA."	"GPL17586"	"Silvia,Regina,Rogatto"	"Silvia.Regina.Rogatto@rsyd.dk"	"Clinical Genetics"	"University Hospital of Southern Denmark – Vejle"	"Beriderbakken 4"	"Vejle"	"7100"	"Denmark"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5906nnn/GSM5906215/suppl/GSM5906215_PE23T_HTA-2_0.cel.gz"	"67528"	"Penile cancer"	"penis"
"GSM5906216"	"penis"	"Penile cancer"	"PE25T"	"Public on Aug 16 2022"	"Feb 17 2022"	"Aug 16 2022"	"RNA"	"1"	"Penile cancer"	"Homo sapiens"	"tissue: penis"	"disease state: Penile cancer"	"total RNA"	"RNA was isolated from fresh-frozen samples using the RNeasy mini kit (Qiagen, Valencia, USA), according to the manufacturers’ instructions"	"biotin"	"Following the manufacturer protocol, we reverse-transcribed and amplified 2 ug of total RNA to cDNA using the GeneChip® Whole Transcript Labeling Assay(Affymetrix, Santa Clara, CA, USA)."	"9606"	"Hybridization of 200 μl of the hybridization cocktail was performed onto the GeneChip® Human Transcriptome Array 2.0 (Affymetrix, Santa Clara, CA, USA) at 45°C, 60 rpm for 18 hours in a hybridization oven."	"The scanning was performed using Affymetrix GeneChip Scanner 7000 (Affymetrix/ThermoFisher, USA)."	"Gene expression data from penile usual carcinoma"	"The data normalization was performed with Transcriptome Analysis Console (TAC, ThermoFisher, USA, v.4.0) using RMA."	"GPL17586"	"Silvia,Regina,Rogatto"	"Silvia.Regina.Rogatto@rsyd.dk"	"Clinical Genetics"	"University Hospital of Southern Denmark – Vejle"	"Beriderbakken 4"	"Vejle"	"7100"	"Denmark"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5906nnn/GSM5906216/suppl/GSM5906216_PE25T_HTA-2_0.cel.gz"	"67528"	"Penile cancer"	"penis"
